Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Poquoson City, Virginia",51735,93.1,11533,806 of 3143
"Adair County, Kentucky",21001,93.1,17538,807 of 3143
"Polk County, Tennessee",47139,93.1,16299,808 of 3143
"Harper County, Kansas",20077,93.1,5145,809 of 3143
"Cleburne County, Alabama",01029,93.1,14011,810 of 3143
"Washington County, Colorado",08121,93.1,4501,811 of 3143
"Fulton County, Illinois",17057,93.1,31676,812 of 3143
"Stutsman County, North Dakota",38093,93.1,20183,813 of 3143
"Washington County, Wisconsin",55131,93.1,126897,814 of 3143
"Houston County, Tennessee",47083,93.1,7668,815 of 3143
"Cheyenne County, Nebraska",31033,93.1,8911,816 of 3143
"Bay County, Michigan",26017,93.1,96834,817 of 3143
"Thomas County, Nebraska",31171,93.1,523,818 of 3143
"Burt County, Nebraska",31021,93.1,6239,819 of 3143
"Swift County, Minnesota",27151,93,9128,820 of 3143
"Boyd County, Nebraska",31015,93,1686,821 of 3143
"Niobrara County, Wyoming",56027,93,2313,822 of 3143
"Marion County, West Virginia",54049,93,52338,823 of 3143
"Lewis County, Missouri",29111,93,9332,824 of 3143
"Fayette County, West Virginia",54019,93,38194,825 of 3143
"Rockingham County, New Hampshire",33015,93,290961,826 of 3143
"Botetourt County, Virginia",51023,93,31203,827 of 3143
"Garfield County, Washington",53023,93,2119,828 of 3143
"Burke County, North Dakota",38013,93,2025,829 of 3143
"Montgomery County, Missouri",29139,93,10589,830 of 3143
"Page County, Iowa",19145,93,14184,831 of 3143
"Daniels County, Montana",30019,93,1617,832 of 3143
"Traill County, North Dakota",38097,93,7446,833 of 3143
"Wood County, Wisconsin",55141,93,68900,834 of 3143
"Dunn County, Wisconsin",55033,93,42070,835 of 3143
"Greene County, Pennsylvania",42059,93,33697,836 of 3143
"Cortland County, New York",36023,93,43676,837 of 3143
"Faribault County, Minnesota",27043,93,12952,838 of 3143
"Laclede County, Missouri",29105,93,33370,839 of 3143
"Ford County, Illinois",17053,93,12632,840 of 3143
"Roane County, Tennessee",47145,93,49557,841 of 3143
"Sargent County, North Dakota",38081,92.9,3568,842 of 3143
"Mineral County, Montana",30061,92.9,4173,843 of 3143
"Cameron Parish, Louisiana",22023,92.9,5251,844 of 3143
"Park County, Wyoming",56029,92.9,27569,845 of 3143
"Campbell County, Kentucky",21037,92.9,86431,846 of 3143
"Montcalm County, Michigan",26117,92.9,61712,847 of 3143
"Banner County, Nebraska",31007,92.9,562,848 of 3143
"O'Brien County, Iowa",19141,92.9,13134,849 of 3143
"Fremont County, Idaho",16043,92.9,12419,850 of 3143
"Archer County, Texas",48009,92.9,8003,851 of 3143
"Woodson County, Kansas",20207,92.9,2937,852 of 3143
"Lafayette County, Missouri",29107,92.9,30421,853 of 3143
"Gibson County, Indiana",18051,92.9,30667,854 of 3143
"Madison County, New York",36053,92.9,63588,855 of 3143
"Codington County, South Dakota",46029,92.9,26273,856 of 3143
"Clay County, Nebraska",31035,92.9,5669,857 of 3143
"McLeod County, Minnesota",27085,92.9,34049,858 of 3143
"Grant County, South Dakota",46051,92.9,7011,859 of 3143
"Grand Isle County, Vermont",50013,92.8,6730,860 of 3143
"San Juan County, Colorado",08111,92.8,648,861 of 3143
"Hutchinson County, South Dakota",46067,92.8,6881,862 of 3143
"Clay County, Texas",48077,92.8,9502,863 of 3143
"Cambria County, Pennsylvania",42021,92.8,124426,864 of 3143
"Pottawatomie County, Kansas",20149,92.8,23277,865 of 3143
"Brantley County, Georgia",13025,92.8,16771,866 of 3143
"Cheatham County, Tennessee",47021,92.8,37935,867 of 3143
"Wadena County, Minnesota",27159,92.8,13000,868 of 3143
"Cullman County, Alabama",01043,92.8,80852,869 of 3143
"Idaho County, Idaho",16049,92.8,15305,870 of 3143
"Newton County, Indiana",18111,92.8,12865,871 of 3143
"Saline County, Illinois",17165,92.8,22145,872 of 3143
"Park County, Colorado",08093,92.8,16128,873 of 3143
"Tishomingo County, Mississippi",28141,92.8,17576,874 of 3143
"Kimball County, Nebraska",31105,92.8,3324,875 of 3143
"Lee County, Iowa",19111,92.8,31283,876 of 3143
"Grant County, Oregon",41023,92.8,6702,877 of 3143
"Osceola County, Iowa",19143,92.8,5721,878 of 3143
"Alleghany County and Clifton Forge City, Virginia",51005,92.7,14159,879 of 3143
"Dickinson County, Kansas",20041,92.7,17223,880 of 3143
"Merrimack County, New Hampshire",33013,92.7,141870,881 of 3143
"Addison County, Vermont",50001,92.7,34590,882 of 3143
"Greenbrier County, West Virginia",54025,92.7,30880,883 of 3143
"Thomas County, Kansas",20193,92.7,7326,884 of 3143
"Houghton County, Michigan",26061,92.7,34752,885 of 3143
"Greene County, Arkansas",05055,92.7,42333,886 of 3143
"Marion County, Tennessee",47115,92.7,26586,887 of 3143
"Cherokee County, North Carolina",37039,92.7,26433,888 of 3143
"Hart County, Kentucky",21099,92.7,17791,889 of 3143
"Flathead County, Montana",30029,92.7,95840,890 of 3143
"Stewart County, Tennessee",47161,92.7,12575,891 of 3143
"Belmont County, Ohio",39013,92.7,62162,892 of 3143
"Pickaway County, Ohio",39129,92.7,54173,893 of 3143
"Stafford County, Kansas",20185,92.7,3805,894 of 3143
"St. Clair County, Michigan",26147,92.7,148323,895 of 3143
"Ouray County, Colorado",08091,92.7,4494,896 of 3143
"Ballard County, Kentucky",21007,92.7,7240,897 of 3143
"Sauk County, Wisconsin",55111,92.6,60618,898 of 3143
"Newton County, Arkansas",05101,92.6,6803,899 of 3143
"Hettinger County, North Dakota",38041,92.6,2318,900 of 3143
"Morgan County, Kentucky",21175,92.6,12759,901 of 3143
"Gunnison County, Colorado",08051,92.6,15609,902 of 3143
"Moore County, Tennessee",47127,92.6,6003,903 of 3143
"Johnson County, Wyoming",56019,92.6,7833,904 of 3143
"Lincoln County, South Dakota",46083,92.6,58567,905 of 3143
"Lewis and Clark County, Montana",30049,92.6,65139,906 of 3143
"Bonner County, Idaho",16017,92.6,43036,907 of 3143
"Silver Bow County, Montana",30093,92.6,32417,908 of 3143
"Washington County, Iowa",19183,92.6,20848,909 of 3143
"Lincoln County, Washington",53043,92.6,9994,910 of 3143
"Putnam County, Indiana",18133,92.6,34094,911 of 3143
"Monroe County, Michigan",26115,92.5,142575,912 of 3143
"Sevier County, Tennessee",47155,92.5,90766,913 of 3143
"Hamilton County, Iowa",19079,92.5,13947,914 of 3143
"Livingston County, Missouri",29117,92.5,13879,915 of 3143
"Humphreys County, Tennessee",47085,92.5,17537,916 of 3143
"Wallowa County, Oregon",41063,92.5,6781,917 of 3143
"Mercer County, Kentucky",21167,92.5,20787,918 of 3143
"Pennington County, Minnesota",27113,92.5,13009,919 of 3143
"Pratt County, Kansas",20151,92.5,8571,920 of 3143
"Hubbard County, Minnesota",27057,92.5,19627,921 of 3143
"Ravalli County, Montana",30081,92.5,40503,922 of 3143
"Schoharie County, New York",36095,92.5,27688,923 of 3143
"Fayette County, Ohio",39047,92.5,26725,924 of 3143
"Franklin County, Idaho",16041,92.5,12981,924 of 3143
"Garfield County, Utah",49017,92.5,4680,926 of 3143
"Gilpin County, Colorado",08047,92.5,5374,927 of 3143
"Bristol County, Rhode Island",44001,92.5,46848,928 of 3143
"Blount County, Alabama",01009,92.5,54439,929 of 3143
"Poweshiek County, Iowa",19157,92.4,17221,930 of 3143
"Custer County, Montana",30017,92.4,11063,931 of 3143
"Waseca County, Minnesota",27161,92.4,17536,932 of 3143
"Throckmorton County, Texas",48447,92.4,1318,933 of 3143
"Pierce County, North Dakota",38069,92.4,3732,934 of 3143
"Montague County, Texas",48337,92.4,18343,935 of 3143
"Miami County, Ohio",39109,92.4,99706,936 of 3143
"Dodge County, Minnesota",27039,92.4,19214,937 of 3143
"Rockbridge County, Virginia",51163,92.4,20936,938 of 3143
"Daggett County, Utah",49009,92.4,521,939 of 3143
"Moniteau County, Missouri",29135,92.4,14524,940 of 3143
"Wright County, Minnesota",27171,92.4,129222,941 of 3143
"Sheridan County, Montana",30091,92.3,3252,942 of 3143
"Preston County, West Virginia",54077,92.3,31638,943 of 3143
"Highland County, Virginia",51091,92.3,2058,944 of 3143
"Knox County, Indiana",18083,92.3,33572,945 of 3143
"St. Lawrence County, New York",36089,92.3,100484,946 of 3143
"Calumet County, Wisconsin",55015,92.3,48126,947 of 3143
"Jefferson County, Wisconsin",55055,92.3,78291,948 of 3143
"Meigs County, Tennessee",47121,92.3,11651,949 of 3143
"Decatur County, Tennessee",47039,92.3,10578,950 of 3143
"Muhlenberg County, Kentucky",21177,92.3,28624,951 of 3143
"Taylor County, Iowa",19173,92.3,5475,952 of 3143
"Marquette County, Michigan",26103,92.3,61260,953 of 3143
"Cerro Gordo County, Iowa",19033,92.3,39852,954 of 3143
"Trempealeau County, Wisconsin",55121,92.3,28146,955 of 3143
"Richardson County, Nebraska",31147,92.3,7282,956 of 3143
"Jefferson County, Missouri",29099,92.3,208421,957 of 3143
"Essex County, New York",36031,92.3,34596,958 of 3143
"Hyde County, South Dakota",46069,92.3,1274,959 of 3143
"Blount County, Tennessee",47009,92.3,123656,960 of 3143
"Franklin County, Kansas",20059,92.2,23941,961 of 3143
"Nemaha County, Nebraska",31127,92.2,6480,962 of 3143
"Clinton County, Iowa",19045,92.2,42968,963 of 3143
"Schuylkill County, Pennsylvania",42107,92.2,132166,964 of 3143
"Johnson County, Tennessee",47091,92.2,16519,965 of 3143
"Montgomery County, Arkansas",05097,92.2,7862,966 of 3143
"Stokes County, North Carolina",37169,92.2,41113,967 of 3143
"Winona County, Minnesota",27169,92.2,45995,968 of 3143
"Washington County, New York",36115,92.2,56701,969 of 3143
"Norman County, Minnesota",27107,92.2,5992,970 of 3143
"Randolph County, West Virginia",54083,92.2,25949,971 of 3143
"Grayson County, Virginia",51077,92.2,14212,972 of 3143
"Natrona County, Wyoming",56025,92.2,73169,973 of 3143
"Otsego County, New York",36077,92.2,54335,974 of 3143
"Adams County, Pennsylvania",42001,92.2,95653,975 of 3143
"Fulton County, New York",36035,92.2,49389,976 of 3143
"Washington County, Pennsylvania",42125,92.2,192704,977 of 3143
"Hooker County, Nebraska",31091,92.2,658,978 of 3143
"Sibley County, Minnesota",27143,92.1,13774,979 of 3143
"Gallatin County, Montana",30031,92.1,107549,980 of 3143
"Gilmer County, Georgia",13123,92.1,28606,981 of 3143
"Mercer County, North Dakota",38057,92.1,7744,982 of 3143
"Allen County, Kansas",20001,92.1,11569,983 of 3143
"Uinta County, Wyoming",56041,92.1,18899,984 of 3143
"Adams County, Illinois",17001,92.1,60689,985 of 3143
"Warrick County, Indiana",18173,92.1,58566,986 of 3143
"Clear Creek County, Colorado",08019,92.1,8684,987 of 3143
"Hancock County, Indiana",18059,92.1,72418,988 of 3143
"Rains County, Texas",48379,92.1,11064,989 of 3143
"Shoshone County, Idaho",16079,92.1,12087,990 of 3143
"Davison County, South Dakota",46035,92.1,18365,991 of 3143
"Floyd County, Iowa",19067,92.1,14429,992 of 3143
"Ohio County, West Virginia",54069,92,39066,993 of 3143
"Montour County, Pennsylvania",42093,92,16750,994 of 3143
"Powder River County, Montana",30075,92,1619,995 of 3143
"Branch County, Michigan",26023,92,41121,996 of 3143
"Seneca County, Ohio",39147,92,50775,997 of 3143
"Clinton County, Illinois",17027,92,34097,998 of 3143
"Perry County, Arkansas",05105,92,9255,999 of 3143
"Goodhue County, Minnesota",27049,92,43715,1000 of 3143
"Crawford County, Illinois",17033,92,17322,1001 of 3143
"Elk County, Kansas",20049,92,2269,1002 of 3143
"Manitowoc County, Wisconsin",55071,92,74617,1003 of 3143
"Douglas County, Wisconsin",55031,92,40509,1004 of 3143
"Chaffee County, Colorado",08015,92,17880,1005 of 3143
"Sumner County, Kansas",20191,92,20793,1006 of 3143
"Marion County, Illinois",17121,92,34751,1007 of 3143
"Henry County, Kentucky",21103,92,14432,1008 of 3143
"Callahan County, Texas",48059,92,12675,1009 of 3143
"Stonewall County, Texas",48433,92,1249,1010 of 3143
"Lawrence County, South Dakota",46081,92,23625,1011 of 3143
"Ozaukee County, Wisconsin",55089,92,83716,1012 of 3143
"White County, Georgia",13311,92,25643,1013 of 3143
"Midland County, Michigan",26111,92,76753,1014 of 3143
"Union County, South Dakota",46127,92,15102,1015 of 3143
"Crook County, Oregon",41013,91.9,22342,1016 of 3143
"Hamilton County, Texas",48193,91.9,7549,1017 of 3143
"Hood County, Texas",48221,91.9,55640,1018 of 3143
"Cheyenne County, Kansas",20023,91.9,2433,1019 of 3143
"Logan County, Nebraska",31113,91.9,795,1020 of 3143
"Juab County, Utah",49023,91.9,10705,1021 of 3143
"Lane County, Kansas",20101,91.9,1382,1022 of 3143
"Morgan County, Tennessee",47129,91.9,19440,1023 of 3143
"Clay County, Kentucky",21051,91.9,18820,1024 of 3143
"Deer Lodge County, Montana",30023,91.9,8618,1025 of 3143
"Caldwell County, Kentucky",21033,91.9,11614,1026 of 3143
"Whiteside County, Illinois",17195,91.9,51386,1027 of 3143
"Morgan County, Ohio",39115,91.9,12820,1028 of 3143
"Judith Basin County, Montana",30045,91.9,1841,1029 of 3143
"Barton County, Missouri",29011,91.9,10759,1030 of 3143
"Lake of the Woods County, Minnesota",27077,91.9,3451,1031 of 3143
"Rush County, Kansas",20165,91.8,2648,1032 of 3143
"Washington County, Rhode Island",44009,91.8,119151,1033 of 3143
"Oliver County, North Dakota",38065,91.8,1699,1034 of 3143
"Macon County, North Carolina",37113,91.8,33547,1035 of 3143
"Henry County, Illinois",17073,91.8,45374,1036 of 3143
"Wayne County, Pennsylvania",42127,91.8,47056,1037 of 3143
"Stone County, Arkansas",05137,91.8,11353,1038 of 3143
"Sullivan County, Indiana",18153,91.8,19110,1039 of 3143
"Franklin County, Arkansas",05047,91.8,15754,1040 of 3143
"St. Francois County, Missouri",29187,91.8,61663,1041 of 3143
"Carson County, Texas",48065,91.8,5376,1042 of 3143
"Gogebic County, Michigan",26053,91.8,13637,1043 of 3143
"Lawrence County, Missouri",29109,91.8,34987,1044 of 3143
"Pulaski County, Virginia",51155,91.8,31099,1045 of 3143
"Henry County, Ohio",39069,91.8,25341,1046 of 3143
"Pipestone County, Minnesota",27117,91.8,8597,1047 of 3143
"Delta County, Michigan",26041,91.7,33791,1048 of 3143
"Mecosta County, Michigan",26107,91.7,36729,1049 of 3143
"Lyon County, Kentucky",21143,91.7,7978,1050 of 3143
"Kiowa County, Kansas",20097,91.7,2253,1051 of 3143
"Koochiching County, Minnesota",27071,91.7,11189,1052 of 3143
"Iroquois County, Illinois",17075,91.7,25088,1053 of 3143
"Mineral County, Colorado",08079,91.7,728,1054 of 3143
"Live Oak County, Texas",48297,91.7,10432,1055 of 3143
"Lawrence County, Pennsylvania",42073,91.7,79126,1056 of 3143
"Delta County, Colorado",08029,91.7,28539,1057 of 3143
"Portage County, Wisconsin",55097,91.7,64514,1058 of 3143
"Dodge County, Wisconsin",55027,91.7,81831,1059 of 3143
"Clinton County, Michigan",26037,91.7,72317,1060 of 3143
"Yellow Medicine County, Minnesota",27173,91.7,8814,1061 of 3143
"Coles County, Illinois",17029,91.6,43565,1062 of 3143
"Cumberland County, Kentucky",21057,91.6,5519,1063 of 3143
"Wise County, Virginia",51195,91.6,33469,1064 of 3143
"Meagher County, Montana",30059,91.6,1770,1065 of 3143
"Doniphan County, Kansas",20043,91.6,6916,1066 of 3143
"Loudon County, Tennessee",47105,91.6,49789,1067 of 3143
"Marion County, Alabama",01093,91.6,26925,1068 of 3143
"Cheboygan County, Michigan",26031,91.6,23500,1069 of 3143
"Young County, Texas",48503,91.6,16391,1070 of 3143
"Clarke County, Iowa",19039,91.6,8918,1071 of 3143
"Grundy County, Illinois",17063,91.6,47962,1072 of 3143
"Nelson County, Kentucky",21179,91.6,42535,1073 of 3143
"Augusta County, Virginia",51015,91.6,70477,1074 of 3143
"Monroe County, Tennessee",47123,91.6,42169,1075 of 3143
"Hickman County, Tennessee",47081,91.6,22758,1076 of 3143
"Lincoln County, Nebraska",31111,91.6,31959,1077 of 3143
"Van Zandt County, Texas",48467,91.6,53815,1078 of 3143
"Clearwater County, Idaho",16035,91.5,7982,1079 of 3143
"Boise County, Idaho",16015,91.5,6910,1080 of 3143
"Boundary County, Idaho",16021,91.5,10953,1081 of 3143
"Leelanau County, Michigan",26089,91.5,20367,1082 of 3143
"Burnett County, Wisconsin",55013,91.5,14971,1083 of 3143
"Eureka County, Nevada",32011,91.5,1467,1084 of 3143
"Madison County, Idaho",16065,91.5,46647,1085 of 3143
"Clark County, Kentucky",21049,91.5,33595,1086 of 3143
"Monroe County, Wisconsin",55081,91.5,42173,1087 of 3143
"Sanders County, Montana",30089,91.5,11252,1088 of 3143
"Fulton County, Ohio",39051,91.5,39076,1089 of 3143
"Juneau County, Wisconsin",55057,91.5,24332,1090 of 3143
"Warren County, Missouri",29219,91.5,32051,1091 of 3143
"Cherokee County, Alabama",01019,91.5,22846,1092 of 3143
"Dubois County, Indiana",18037,91.5,39768,1093 of 3143
"Dodge County, Nebraska",31053,91.5,34072,1094 of 3143
"Sioux County, Iowa",19167,91.5,32606,1095 of 3143
"Rockingham County, Virginia",51165,91.5,75993,1096 of 3143
"Patrick County, Virginia",51141,91.5,16151,1097 of 3143
"Perry County, Tennessee",47135,91.4,7602,1098 of 3143
"Golden Valley County, North Dakota",38033,91.4,1657,1099 of 3143
"Rhea County, Tennessee",47143,91.4,29923,1100 of 3143
"Baker County, Oregon",41001,91.4,15122,1101 of 3143
"Smith County, Tennessee",47159,91.4,18120,1102 of 3143
"Walker County, Georgia",13295,91.4,61958,1103 of 3143
"Taylor County, Kentucky",21217,91.4,23721,1104 of 3143
"Taney County, Missouri",29213,91.4,51060,1105 of 3143
"Carroll County, Illinois",17015,91.4,14248,1106 of 3143
"Texas County, Missouri",29215,91.4,22729,1107 of 3143
"Custer County, South Dakota",46033,91.4,7641,1108 of 3143
"Box Elder County, Utah",49003,91.4,51994,1109 of 3143
"Lenawee County, Michigan",26091,91.4,90792,1110 of 3143
"St. Louis County, Minnesota",27137,91.4,183035,1111 of 3143
"Fayette County, Pennsylvania",42051,91.4,118264,1112 of 3143
"Wright County, Iowa",19197,91.4,11856,1113 of 3143
"Fond du Lac County, Wisconsin",55039,91.3,94899,1114 of 3143
"Bureau County, Illinois",17011,91.3,30452,1115 of 3143
"Saratoga County, New York",36091,91.3,214660,1116 of 3143
"Adams County, Wisconsin",55001,91.3,18729,1117 of 3143
"Bottineau County, North Dakota",38009,91.3,5884,1118 of 3143
"Wasatch County, Utah",49051,91.3,31079,1119 of 3143
"Muskingum County, Ohio",39119,91.3,78860,1120 of 3143
"Ellis County, Kansas",20051,91.3,26385,1121 of 3143
"Ogle County, Illinois",17141,91.3,47291,1122 of 3143
"Jasper County, Indiana",18073,91.3,30138,1123 of 3143
"Newaygo County, Michigan",26123,91.3,45333,1124 of 3143
"Franklin County, Massachusetts",25011,91.3,64892,1125 of 3143
"Hancock County, Ohio",39063,91.3,68592,1126 of 3143
"Ashtabula County, Ohio",39007,91.3,89337,1127 of 3143
"Kane County, Utah",49025,91.3,6969,1128 of 3143
"Jerauld County, South Dakota",46073,91.3,1653,1129 of 3143
"Ontario County, New York",36069,91.3,102279,1130 of 3143
"Hardy County, West Virginia",54031,91.3,13023,1131 of 3143
"Catron County, New Mexico",35003,91.3,3268,1132 of 3143
"Livingston County, Illinois",17105,91.2,32759,1133 of 3143
"Genesee County, New York",36037,91.2,53271,1134 of 3143
"DeKalb County, Tennessee",47041,91.2,18132,1135 of 3143
"Dickson County, Tennessee",47043,91.2,49262,1136 of 3143
"Walsh County, North Dakota",38099,91.2,9698,1137 of 3143
"Randolph County, Arkansas",05121,91.2,16823,1138 of 3143
"Baca County, Colorado",08009,91.2,3210,1139 of 3143
"Livingston County, New York",36051,91.2,56772,1140 of 3143
"Haralson County, Georgia",13143,91.2,27069,1141 of 3143
"Dubuque County, Iowa",19061,91.2,89982,1142 of 3143
"Deuel County, Nebraska",31049,91.2,1712,1143 of 3143
"Putnam County, Tennessee",47141,91.1,71957,1144 of 3143
"Barnes County, North Dakota",38003,91.1,9905,1145 of 3143
"Waushara County, Wisconsin",55137,91.1,22350,1146 of 3143
"Potter County, South Dakota",46107,91.1,2381,1147 of 3143
"Marion County, Missouri",29127,91.1,26024,1148 of 3143
"Russell County, Kansas",20167,91.1,6144,1149 of 3143
"Pottawattamie County, Iowa",19155,91.1,85207,1150 of 3143
"Stanley County, South Dakota",46117,91.1,2698,1151 of 3143
"Skamania County, Washington",53059,91.1,10902,1152 of 3143
"Asotin County, Washington",53003,91.1,20291,1153 of 3143
"Butte County, South Dakota",46019,91,9256,1154 of 3143
"Cattaraugus County, New York",36009,91,70278,1155 of 3143
"Deschutes County, Oregon",41017,91,177447,1156 of 3143
"Barren County, Kentucky",21009,91,40297,1157 of 3143
"Oceana County, Michigan",26127,91,24168,1157 of 3143
"Meade County, Kentucky",21163,91,27059,1159 of 3143
"McNairy County, Tennessee",47109,91,23574,1160 of 3143
"Callaway County, Missouri",29027,91,40431,1161 of 3143
"Union County, Oregon",41061,91,23881,1162 of 3143
"Jeff Davis County, Texas",48243,90.9,1838,1163 of 3143
"Citrus County, Florida",12017,90.9,138116,1164 of 3143
"Teller County, Colorado",08119,90.9,22375,1165 of 3143
"Kootenai County, Idaho",16055,90.9,153044,1166 of 3143
"Woodford County, Kentucky",21239,90.9,24327,1167 of 3143
"Bourbon County, Kansas",20011,90.9,13099,1168 of 3143
"Allegan County, Michigan",26005,90.9,108546,1169 of 3143
"Catoosa County, Georgia",13047,90.9,61418,1170 of 3143
"Athens County, Ohio",39009,90.9,57195,1171 of 3143
"Rabun County, Georgia",13241,90.9,15205,1172 of 3143
"Edwards County, Kansas",20047,90.9,2645,1173 of 3143
"Transylvania County, North Carolina",37175,90.8,29960,1174 of 3143
"Roseau County, Minnesota",27135,90.8,13918,1175 of 3143
"Crawford County, Kansas",20037,90.8,35438,1176 of 3143
"Kosciusko County, Indiana",18085,90.8,72791,1177 of 3143
"Richland County, North Dakota",38077,90.8,15026,1178 of 3143
"Braxton County, West Virginia",54007,90.8,11534,1179 of 3143
"Lander County, Nevada",32015,90.8,5202,1180 of 3143
"Richland County, Montana",30083,90.8,10328,1181 of 3143
"Itawamba County, Mississippi",28057,90.8,21661,1182 of 3143
"Beaver County, Utah",49001,90.8,6319,1183 of 3143
"McMinn County, Tennessee",47107,90.8,48161,1184 of 3143
"Huntingdon County, Pennsylvania",42061,90.8,40347,1185 of 3143
"Wayne County, New York",36117,90.7,82863,1186 of 3143
"Calloway County, Kentucky",21035,90.7,33832,1187 of 3143
"Adair County, Missouri",29001,90.7,22986,1188 of 3143
"Divide County, North Dakota",38023,90.7,1992,1189 of 3143
"Strafford County, New Hampshire",33017,90.7,118445,1190 of 3143
"Pine County, Minnesota",27115,90.7,26295,1191 of 3143
"Todd County, Minnesota",27153,90.7,22775,1192 of 3143
"Emmet County, Michigan",26047,90.7,30775,1193 of 3143
"Grafton County, New Hampshire",33009,90.7,82517,1194 of 3143
"Norton County, Kansas",20137,90.6,4946,1195 of 3143
"Polk County, North Carolina",37149,90.6,17594,1196 of 3143
"Shenandoah County, Virginia",51171,90.6,39903,1197 of 3143
"Boone County, Indiana",18011,90.6,63275,1198 of 3143
"Brookings County, South Dakota",46011,90.6,31086,1199 of 3143
"Jefferson County, Ohio",39081,90.6,59441,1200 of 3143
"Madison County, Kentucky",21151,90.6,83505,1201 of 3143
"Jim Wells County, Texas",48249,90.5,35490,1202 of 3143
"Platte County, Wyoming",56031,90.5,7790,1203 of 3143
"Nevada County, California",06057,90.5,92393,1204 of 3143
"Ionia County, Michigan",26067,90.5,60238,1205 of 3143
"Eddy County, North Dakota",38027,90.5,2152,1206 of 3143
"Wayne County, Tennessee",47181,90.5,14796,1207 of 3143
"San Juan County, Washington",53055,90.5,15954,1208 of 3143
"Graham County, Kansas",20065,90.5,2211,1209 of 3143
"Clinton County, New York",36019,90.4,72422,1210 of 3143
"Carbon County, Utah",49007,90.4,18271,1211 of 3143
"Litchfield County, Connecticut",09005,90.4,167417,1212 of 3143
"Lycoming County, Pennsylvania",42081,90.4,103295,1213 of 3143
"Jackson County, Alabama",01071,90.4,47494,1214 of 3143
"Cuming County, Nebraska",31039,90.4,8165,1215 of 3143
"Ellis County, Oklahoma",40045,90.3,3444,1216 of 3143
"Adams County, Nebraska",31001,90.3,28239,1217 of 3143
"Big Horn County, Wyoming",56003,90.2,10533,1218 of 3143
"Wyoming County, New York",36121,90.2,36711,1219 of 3143
"Campbell County, Wyoming",56005,90.2,42191,1220 of 3143
"Cabell County, West Virginia",54011,90.2,85375,1221 of 3143
"Douglas County, Oregon",41019,90.2,99863,1222 of 3143
"Gallatin County, Kentucky",21077,90.2,7843,1223 of 3143
"Androscoggin County, Maine",23001,90.2,99565,1224 of 3143
"Grand County, Utah",49019,90.2,8685,1225 of 3143
"Llano County, Texas",48299,90.2,19159,1226 of 3143
"Avery County, North Carolina",37011,90.2,16002,1227 of 3143
"Sierra County, California",06091,90.2,2776,1228 of 3143
"Goshen County, Wyoming",56015,90.2,11397,1229 of 3143
"Cimarron County, Oklahoma",40025,90.1,2047,1230 of 3143
"Itasca County, Minnesota",27061,90.1,40532,1231 of 3143
"Jack County, Texas",48237,90.1,7655,1232 of 3143
"Henry County, Iowa",19087,90.1,18464,1233 of 3143
"Franklin County, Pennsylvania",42055,90.1,140195,1234 of 3143
"Mercer County, West Virginia",54055,90.1,53963,1235 of 3143
"Williamson County, Illinois",17199,90.1,60606,1236 of 3143
"Emmet County, Iowa",19063,90.1,8498,1237 of 3143
"Cayuga County, New York",36011,90.1,69046,1238 of 3143
"White County, Indiana",18181,90.1,22151,1239 of 3143
"Steele County, Minnesota",27147,90,33644,1240 of 3143
"Iron County, Utah",49021,90,50277,1241 of 3143
"Chase County, Nebraska",31029,90,3326,1242 of 3143
"Rich County, Utah",49033,90,2257,1243 of 3143
"Pope County, Illinois",17151,90,3438,1244 of 3143
"Searcy County, Arkansas",05129,90,7084,1245 of 3143
"Eau Claire County, Wisconsin",55035,90,94674,1246 of 3143
"Butler County, Kansas",20015,90,60655,1247 of 3143
"Bond County, Illinois",17005,90,15120,1248 of 3143
"Logan County, Kentucky",21141,90,24581,1249 of 3143
"Tillamook County, Oregon",41057,90,24410,1250 of 3143
"Martin County, Kentucky",21159,90,10250,1251 of 3143
"Izard County, Arkansas",05065,90,12282,1252 of 3143
"La Crosse County, Wisconsin",55063,89.9,108186,1253 of 3143
"Manistee County, Michigan",26101,89.9,22428,1254 of 3143
"Walworth County, Wisconsin",55127,89.9,95273,1255 of 3143
"Wood County, Ohio",39173,89.9,118625,1256 of 3143
"Mercer County, Pennsylvania",42085,89.9,99987,1257 of 3143
"Waukesha County, Wisconsin",55133,89.9,364396,1258 of 3143
"McCreary County, Kentucky",21147,89.9,15321,1259 of 3143
"Webster County, Kentucky",21233,89.9,11679,1260 of 3143
"Sherburne County, Minnesota",27141,89.9,86543,1261 of 3143
"Harney County, Oregon",41025,89.9,6699,1262 of 3143
"Ross County, Ohio",39141,89.9,69385,1263 of 3143
"Latah County, Idaho",16057,89.9,35466,1264 of 3143
"Missoula County, Montana",30063,89.9,105465,1265 of 3143
"Cumberland County, Maine",23005,89.8,270232,1266 of 3143
"Winnebago County, Wisconsin",55139,89.8,153873,1267 of 3143
"Polk County, Arkansas",05113,89.8,17491,1268 of 3143
"Buffalo County, Nebraska",31019,89.8,44756,1269 of 3143
"Chautauqua County, New York",36013,89.8,114971,1270 of 3143
"Scott County, Kansas",20171,89.8,4635,1271 of 3143
"Licking County, Ohio",39089,89.8,159282,1272 of 3143
