Demographic Data Report for United States by County,,,,
Population: White,,,,
"All Ages, Both Sexes",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County,fips,Value (Percent),People (White),Rank within US
"Franklin County, Indiana",18047,96.7,22024,106 of 3143
"Russell County, Virginia",51167,96.7,25083,107 of 3143
"Wirt County, West Virginia",54105,96.7,5091,108 of 3143
"Potter County, Pennsylvania",42105,96.7,15936,109 of 3143
"Cass County, Iowa",19029,96.7,12725,110 of 3143
"Blackford County, Indiana",18009,96.7,11739,111 of 3143
"Tioga County, Pennsylvania",42117,96.7,39730,112 of 3143
"McLean County, Kentucky",21149,96.7,8877,113 of 3143
"Ripley County, Indiana",18137,96.7,27990,114 of 3143
"Furnas County, Nebraska",31065,96.7,4500,115 of 3143
"Menard County, Illinois",17129,96.7,11932,115 of 3143
"Adams County, Ohio",39001,96.7,26646,117 of 3143
"Elk County, Pennsylvania",42047,96.7,30003,118 of 3143
"Susquehanna County, Pennsylvania",42115,96.7,37596,119 of 3143
"Mason County, Illinois",17125,96.7,12784,120 of 3143
"Darke County, Ohio",39037,96.7,50105,121 of 3143
"Roane County, West Virginia",54087,96.6,13655,122 of 3143
"Carter County, Missouri",29035,96.6,5185,123 of 3143
"Cedar County, Nebraska",31027,96.6,8119,124 of 3143
"Keweenaw County, Michigan",26083,96.6,1983,125 of 3143
"Hayes County, Nebraska",31085,96.6,861,126 of 3143
"Clayton County, Iowa",19043,96.6,16594,127 of 3143
"Ritchie County, West Virginia",54085,96.6,8383,128 of 3143
"Lincoln County, Minnesota",27081,96.6,5464,129 of 3143
"Vermillion County, Indiana",18165,96.6,14953,130 of 3143
"Madison County, Iowa",19121,96.6,15858,131 of 3143
"Marshall County, Kentucky",21157,96.6,30589,132 of 3143
"Overton County, Tennessee",47133,96.6,21606,133 of 3143
"Griggs County, North Dakota",38039,96.6,2166,134 of 3143
"Dearborn County, Indiana",18029,96.6,48782,135 of 3143
"Henderson County, Illinois",17071,96.6,6265,136 of 3143
"Livingston County, Kentucky",21139,96.6,8684,137 of 3143
"Tipton County, Indiana",18159,96.6,14769,138 of 3143
"Greeley County, Nebraska",31077,96.6,2143,139 of 3143
"Garfield County, Nebraska",31071,96.6,1824,140 of 3143
"Hanson County, South Dakota",46061,96.6,3311,141 of 3143
"Delaware County, Iowa",19055,96.6,16905,142 of 3143
"Laurel County, Kentucky",21125,96.5,59944,143 of 3143
"Taylor County, Wisconsin",55119,96.5,19268,144 of 3143
"Effingham County, Illinois",17049,96.5,33377,145 of 3143
"Schuyler County, Missouri",29197,96.5,3952,146 of 3143
"Douglas County, Minnesota",27041,96.5,37398,147 of 3143
"Daviess County, Missouri",29061,96.5,8134,148 of 3143
"Wayne County, Illinois",17191,96.5,15685,148 of 3143
"Jackson County, Iowa",19097,96.5,18820,150 of 3143
"Clark County, Illinois",17023,96.5,15042,151 of 3143
"Republic County, Kansas",20157,96.5,4542,152 of 3143
"Emery County, Utah",49015,96.5,9494,153 of 3143
"Lake County, Minnesota",27075,96.5,10455,154 of 3143
"Whitley County, Kentucky",21235,96.5,35295,155 of 3143
"Sherman County, Nebraska",31163,96.5,2881,156 of 3143
"Norton City, Virginia",51720,96.5,3566,157 of 3143
"Mills County, Iowa",19129,96.5,14142,158 of 3143
"Wayne County, West Virginia",54099,96.5,37952,159 of 3143
"Campbell County, Tennessee",47013,96.5,37998,160 of 3143
"Perry County, Ohio",39127,96.5,34188,161 of 3143
"Howard County, Iowa",19089,96.5,9122,162 of 3143
"Nuckolls County, Nebraska",31129,96.5,3979,163 of 3143
"Florence County, Wisconsin",55037,96.5,4381,164 of 3143
"Union County, Indiana",18161,96.4,6846,165 of 3143
"Linn County, Missouri",29115,96.4,11537,166 of 3143
"Madison County, Missouri",29123,96.4,12149,167 of 3143
"Carter County, Montana",30011,96.4,1301,168 of 3143
"Carter County, Kentucky",21043,96.4,25861,169 of 3143
"Butler County, Iowa",19023,96.4,13903,170 of 3143
"Taylor County, West Virginia",54091,96.4,16124,171 of 3143
"Butler County, Kentucky",21031,96.4,11965,172 of 3143
"Cumberland County, Illinois",17035,96.4,10148,173 of 3143
"Fentress County, Tennessee",47049,96.4,17721,174 of 3143
"Saunders County, Nebraska",31155,96.4,21213,175 of 3143
"Piatt County, Illinois",17147,96.4,16062,176 of 3143
"Antelope County, Nebraska",31003,96.4,6082,177 of 3143
"Pierce County, Nebraska",31139,96.4,7003,178 of 3143
"Harrison County, Missouri",29081,96.4,7931,179 of 3143
"Mason County, West Virginia",54053,96.4,24736,180 of 3143
"Gallatin County, Illinois",17059,96.4,4855,181 of 3143
"McHenry County, North Dakota",38049,96.4,5223,182 of 3143
"Woodford County, Illinois",17203,96.4,37166,183 of 3143
"Gladwin County, Michigan",26051,96.4,24420,184 of 3143
"Putnam County, Missouri",29171,96.4,4543,185 of 3143
"Gentry County, Missouri",29075,96.3,6003,186 of 3143
"Grant County, West Virginia",54023,96.3,10656,187 of 3143
"Ste. Genevieve County, Missouri",29186,96.3,17728,188 of 3143
"Allen County, Kentucky",21003,96.3,19844,189 of 3143
"Monroe County, Ohio",39111,96.3,13015,190 of 3143
"Edmunds County, South Dakota",46045,96.3,3857,191 of 3143
"Jo Daviess County, Illinois",17085,96.3,21182,192 of 3143
"McPherson County, South Dakota",46089,96.3,2162,193 of 3143
"Estill County, Kentucky",21065,96.3,13632,194 of 3143
"Cumberland County, Tennessee",47035,96.3,58311,195 of 3143
"Bracken County, Kentucky",21023,96.3,8081,196 of 3143
"Wibaux County, Montana",30109,96.3,980,197 of 3143
"Union County, Tennessee",47173,96.3,18865,198 of 3143
"Edwards County, Illinois",17047,96.3,6000,199 of 3143
"Slope County, North Dakota",38087,96.3,746,200 of 3143
"Pike County, Illinois",17149,96.3,14364,201 of 3143
"Fillmore County, Minnesota",27045,96.2,20384,202 of 3143
