FIPS,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
13243,54.1,7.3,7.5,3.9,34.1,8.8,18.9,5.2,11,3.3,20.2,3.4,25,3.6,17.1,4.3,19.4,8.5,0,1.3,69.3,3.9,6.6,4.3,15.3,4.1,1.8,1.7,18.7,7.8,2.8,0.2,0.9975,0.8855,0.985,0.8928,0.6885,4.4493,0.9863,0.5873,0.8521,0.6198,0.9997,0,3.0589,0.853,0.9577,0.9577,0.9577,0.7712,0.6809,0.4712,0.9917,0.6389,3.5539,0.9532,12.0198,0.9882,1,0,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,1,5,5419,20.4,7.4,64.7,4.7,3.3,2.3,0.2,0.4,0,0.7,0,0.7,1,0.9,0.2,0.2
13245,32,1.5,8.3,1.1,34.8,1.9,12.4,0.8,12,0.9,14.5,0.1,22.9,0.1,18.3,1,12.2,1.1,0.5,0.2,67.3,0.2,11.3,1.1,6.6,0.6,1.6,0.3,10,1.1,5,0.1,0.8352,0.9214,0.9885,0.6246,0.7477,4.1174,0.9513,0.1196,0.6312,0.7114,0.9809,0.377,2.8201,0.7324,0.9494,0.9494,0.9494,0.8915,0.3411,0.3933,0.9205,0.819,3.3654,0.9061,11.2523,0.9513,0,1,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,1,5,247872,15.8,1.4,55.2,0.7,5.3,0,1.6,0.2,0.1,0.1,0.1,0.1,4.4,0.6,0.7,0.3
13247,24.6,2.2,6,1.1,30.8,3.2,10.5,1.2,14.8,1.4,15.1,0.3,24,0.1,12.4,1,9.5,1.6,2.7,0.6,72.9,0.2,6.5,1.3,4,0.9,3.5,1.1,3.6,1,0.9,0,0.5737,0.7385,0.9535,0.5002,0.8606,3.6265,0.8536,0.1473,0.7763,0.2014,0.9294,0.8361,2.8905,0.7751,0.9695,0.9695,0.9695,0.7668,0.1976,0.8311,0.196,0.1091,2.1006,0.3,9.5871,0.777,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,85082,11.5,1.8,56.6,1,10.5,0,1.8,0.2,0.1,0.1,0.3,0.4,3.1,0.9,0.6,0.3
13249,26.5,5.8,3.5,2.1,29.8,8.6,14.9,4.5,14.5,5.7,13.3,2.9,24.1,3.9,16,4,6.5,2.8,0,1.3,24.6,6.2,1,0.7,32.6,5.9,0.8,1.2,5.3,2.8,0,0.3,0.6577,0.2568,0.9329,0.7553,0.8514,3.4541,0.8081,0.0706,0.7852,0.5227,0.6898,0,2.0683,0.2459,0.6013,0.6013,0.6013,0.1785,0.9637,0.1193,0.4868,0,1.7483,0.1626,7.872,0.4973,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3721,23.3,6.4,17.8,7.1,5.7,4.6,0,1,0,1,0,1,1.1,1,0,1
13251,28.6,4.1,7.2,3,17,3.7,15.1,2.8,11.3,3.1,19.8,0.2,20.6,0.6,15.4,2.2,7.3,2.7,0.3,0.7,44.7,0.2,0.6,0.9,35.4,4.5,1.8,0.8,5.4,1.5,2.5,0.1,0.7378,0.8616,0.1489,0.7639,0.7121,3.2243,0.7471,0.5453,0.3213,0.4699,0.7817,0.2475,2.3657,0.4321,0.8279,0.8279,0.8279,0.1088,0.9768,0.4712,0.503,0.5902,2.65,0.5781,9.0679,0.699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,12518,21.7,3.5,40.1,0.9,2.6,0,0.4,0.5,0.1,0.1,0,0.3,1.5,0.8,0,0.3
13253,31.2,4.4,5.8,2.8,25,5.4,12.1,2.5,18.4,3,23.8,0.6,19.9,0.8,20.7,2.7,7.1,2.4,0.5,1,38.3,0.2,0.2,0.5,32.3,4.5,2.4,1.3,10.7,3.8,1.3,0,0.8145,0.7082,0.7506,0.6071,0.9392,3.8196,0.903,0.8336,0.2507,0.8428,0.7601,0.377,3.0642,0.8552,0.7626,0.7626,0.7626,0.0414,0.9628,0.6624,0.9415,0.252,2.8601,0.693,10.5065,0.8813,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,8938,31.8,5.7,33,0.8,3.6,0,0.6,0.6,0,0.1,0,0.5,1.1,0.6,0,0.5
13255,28.3,2.5,5.6,1.3,29.6,3,16.4,1.7,13,1.7,18.4,0.2,23.4,0.2,14.2,1.2,9.2,1.5,0.7,0.3,43.9,0.4,3,0.9,5.7,1.2,1.5,0.6,7.3,1.4,1.7,0.1,0.727,0.6777,0.9294,0.8136,0.7954,3.9431,0.9278,0.4038,0.6962,0.3528,0.9192,0.4776,2.8496,0.7553,0.818,0.818,0.818,0.496,0.2953,0.3608,0.7572,0.4003,2.3096,0.4085,9.9203,0.8206,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,65946,19.3,2.4,34.5,0.7,5.1,0,0.9,0.2,0.3,0.2,0,0.1,2.8,0.8,0.4,0.4
13257,26.2,3.5,5.8,1.7,23.3,4.2,16.3,2.9,15.4,2.2,20.9,0.8,21.4,0.7,17.9,2,6.3,2.4,1,0.8,18.9,0.3,1.7,0.9,20.3,3.1,1.3,0.7,4.8,1.6,3.1,0.2,0.6446,0.7082,0.6405,0.8097,0.8762,3.6792,0.8708,0.6542,0.4127,0.6815,0.6538,0.5861,2.9883,0.826,0.5094,0.5094,0.5094,0.3029,0.8151,0.2765,0.3939,0.678,2.4664,0.4855,9.6433,0.7836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25435,19.7,3,10.7,1,4.2,0,1.2,0.1,0.1,0.1,0.1,0.2,2.7,1.1,0,0.2
13259,33,8.5,5.1,3.1,24.2,9.8,27.4,7,16.5,6.2,14.5,0,10.8,0,24.1,6.3,8.9,5.3,11.1,4.6,78.7,0.5,5.1,6,33.5,8.2,0.4,1.2,12.4,5.8,33.6,5.8,0.8562,0.5787,0.7028,0.9847,0.9039,4.0263,0.9395,0.1196,0.0019,0.9481,0.909,0.9838,2.9624,0.8126,0.9803,0.9803,0.9803,0.6914,0.9656,0.0404,0.9685,0.9978,3.6637,0.9717,11.6327,0.9736,0,0,0,1,1,2,0,0,1,1,1,3,1,1,0,1,0,1,1,3,9,4104,31,9.1,61,5.5,12.8,5.1,3.3,2,0.2,0.3,0,0.9,0.7,0.7,0.7,0.8
13261,34.5,4.1,6.5,2.3,31.5,4,16.3,2,11.8,2.4,16.9,0.2,22.4,0.1,13.4,1.7,12.7,2.8,1.1,0.6,61,0.1,1.7,0.9,16.3,2.4,3.1,1,10.6,2.7,6.3,0.1,0.8871,0.805,0.9625,0.8097,0.7391,4.2034,0.9647,0.2663,0.5616,0.2832,0.985,0.6131,2.7092,0.6713,0.923,0.923,0.923,0.3029,0.7121,0.783,0.9386,0.8632,3.5998,0.9596,11.4354,0.9631,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,4,28478,23.3,3.3,51,1.2,6.1,0,1.3,0.2,0.1,0.2,0,0.1,2.4,1.3,0.1,0.1
