Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Perry County, Alabama",01105,8.0,205,"2710 of 3143"
"Benton County, Mississippi",28009,8.0,214,"2709 of 3143"
"Lynn County, Texas",48305,8.0,148,"2708 of 3143"
"Marion County, Oregon",41047,8.0,8996,"2707 of 3143"
"Stephens County, Texas",48429,8.0,256,"2706 of 3143"
"Chilton County, Alabama",01021,8.0,1176,"2705 of 3143"
"Accomack County, Virginia",51001,8.0,930,"2704 of 3143"
"Marion County, Mississippi",28091,8.0,648,"2703 of 3143"
"Okfuskee County, Oklahoma",40107,8.0,344,"2702 of 3143"
"Caswell County, North Carolina",37033,8.0,669,"2701 of 3143"
"Santa Cruz County, California",06087,8.0,7097,"2700 of 3143"
"Sutton County, Texas",48435,8.0,85,"2699 of 3143"
"McIntosh County, North Dakota",38051,8.0,75,"2698 of 3143"
"Chelan County, Washington",53007,7.9,2116,"2697 of 3143"
"Bastrop County, Texas",48021,7.9,2502,"2696 of 3143"
"DeKalb County, Tennessee",47041,7.9,559,"2695 of 3143"
"Decatur County, Georgia",13087,7.9,719,"2694 of 3143"
"Socorro County, New Mexico",35053,7.9,418,"2693 of 3143"
"Avoyelles Parish, Louisiana",22009,7.9,1076,"2692 of 3143"
"Pittsylvania County, Virginia",51143,7.9,1748,"2691 of 3143"
"Montgomery County, Georgia",13209,7.9,225,"2690 of 3143"
"Walsh County, North Dakota",38099,7.9,296,"2689 of 3143"
"Butler County, Kentucky",21031,7.9,337,"2688 of 3143"
"Watonwan County, Minnesota",27165,7.9,290,"2687 of 3143"
"Smith County, Mississippi",28129,7.8,377,"2686 of 3143"
"Taylor County, Georgia",13269,7.8,203,"2685 of 3143"
"Cherokee County, Alabama",01019,7.8,703,"2684 of 3143"
"Wilson County, North Carolina",37195,7.8,1945,"2683 of 3143"
"Hudson County, New Jersey",34017,7.8,19787,"2682 of 3143"
"Monroe County, Mississippi",28095,7.8,882,"2681 of 3143"
"San Patricio County, Texas",48409,7.8,1730,"2680 of 3143"
"Austin County, Texas",48015,7.8,795,"2679 of 3143"
"Edwards County, Kansas",20047,7.8,82,"2678 of 3143"
"Henry County, Virginia",51089,7.8,1389,"2677 of 3143"
"Norton City, Virginia",51720,7.8,87,"2676 of 3143"
"Wright County, Missouri",29229,7.8,460,"2675 of 3143"
"Union County, New Jersey",34039,7.7,14584,"2674 of 3143"
"Hardeman County, Tennessee",47069,7.7,801,"2673 of 3143"
"Leake County, Mississippi",28079,7.7,515,"2672 of 3143"
"Pawnee County, Nebraska",31133,7.7,69,"2671 of 3143"
"Mason County, Kentucky",21161,7.7,435,"2670 of 3143"
"Pendleton County, West Virginia",54071,7.7,180,"2669 of 3143"
"Fisher County, Texas",48151,7.7,106,"2668 of 3143"
"Quitman County, Mississippi",28119,7.7,152,"2667 of 3143"
"Osceola County, Iowa",19143,7.7,169,"2666 of 3143"
"Harrison County, Kentucky",21097,7.7,480,"2665 of 3143"
"DeBaca County, New Mexico",35011,7.7,44,"2664 of 3143"
"Johnson County, Georgia",13167,7.7,302,"2663 of 3143"
"Hamilton County, Florida",12047,7.7,472,"2662 of 3143"
"Nacogdoches County, Texas",48347,7.7,1380,"2661 of 3143"
"Montgomery County, Arkansas",05097,7.7,243,"2660 of 3143"
"Jefferson County, Georgia",13163,7.6,390,"2659 of 3143"
"Scott County, Tennessee",47151,7.6,556,"2658 of 3143"
"Richmond County, Virginia",51159,7.6,297,"2657 of 3143"
"Coshocton County, Ohio",39031,7.6,939,"2656 of 3143"
"Oscoda County, Michigan",26135,7.6,237,"2655 of 3143"
"Gadsden County, Florida",12039,7.6,1109,"2654 of 3143"
"Randolph County, Alabama",01111,7.6,559,"2653 of 3143"
"Moniteau County, Missouri",29135,7.6,424,"2652 of 3143"
"Crockett County, Tennessee",47033,7.6,345,"2651 of 3143"
"Acadia Parish, Louisiana",22001,7.6,1377,"2650 of 3143"
"Wilkes County, North Carolina",37193,7.6,1781,"2649 of 3143"
"Jim Wells County, Texas",48249,7.6,932,"2648 of 3143"
"Wilbarger County, Texas",48487,7.5,318,"2647 of 3143"
"Yuma County, Colorado",08125,7.5,250,"2646 of 3143"
"Union County, Mississippi",28145,7.5,669,"2645 of 3143"
"Carroll County, Kentucky",21041,7.5,269,"2644 of 3143"
"Kane County, Illinois",17089,7.5,12687,"2643 of 3143"
"Washington County, Arkansas",05143,7.5,5537,"2642 of 3143"
"Adams County, Ohio",39001,7.5,697,"2641 of 3143"
"Polk County, Georgia",13233,7.5,1024,"2640 of 3143"
"Grady County, Georgia",13131,7.5,629,"2639 of 3143"
"Hamblen County, Tennessee",47063,7.5,1605,"2638 of 3143"
"Suffolk County, Massachusetts",25025,7.5,19960,"2637 of 3143"
"Morgan County, Tennessee",47129,7.5,638,"2636 of 3143"
"Dickens County, Texas",48125,7.5,45,"2635 of 3143"
"Izard County, Arkansas",05065,7.5,405,"2634 of 3143"
"Adams County, Colorado",08001,7.5,12591,"2633 of 3143"
"Glascock County, Georgia",13125,7.5,66,"2632 of 3143"
"Macon County, Georgia",13193,7.5,367,"2631 of 3143"
"Cumberland County, New Jersey",34011,7.4,3987,"2630 of 3143"
"Wayne County, Iowa",19185,7.4,161,"2629 of 3143"
"St. Mary Parish, Louisiana",22101,7.4,1238,"2628 of 3143"
"Lawrence County, Mississippi",28077,7.4,293,"2627 of 3143"
"Limestone County, Texas",48293,7.4,580,"2626 of 3143"
"Deuel County, Nebraska",31049,7.4,50,"2625 of 3143"
"Jones County, North Carolina",37103,7.4,247,"2624 of 3143"
"Montgomery County, North Carolina",37123,7.4,646,"2623 of 3143"
"Pocahontas County, West Virginia",54075,7.4,234,"2622 of 3143"
"Mississippi County, Arkansas",05093,7.4,946,"2621 of 3143"
"Poinsett County, Arkansas",05111,7.4,557,"2620 of 3143"
"Warren County, Tennessee",47177,7.4,1005,"2619 of 3143"
"Calhoun County, South Carolina",45017,7.4,354,"2618 of 3143"
"Van Buren County, Arkansas",05141,7.4,420,"2617 of 3143"
"Hill County, Texas",48217,7.4,891,"2616 of 3143"
"McCook County, South Dakota",46087,7.4,139,"2615 of 3143"
"Lenoir County, North Carolina",37107,7.4,1325,"2614 of 3143"
"Marshall County, Alabama",01095,7.4,2322,"2613 of 3143"
"Lincoln County, Kentucky",21137,7.4,593,"2612 of 3143"
"Charlotte County, Virginia",51037,7.4,293,"2611 of 3143"
"Jackson Parish, Louisiana",22049,7.4,400,"2610 of 3143"
"Claiborne Parish, Louisiana",22027,7.3,462,"2609 of 3143"
"Leon County, Texas",48289,7.3,406,"2608 of 3143"
"Appling County, Georgia",13001,7.3,444,"2607 of 3143"
"Live Oak County, Texas",48297,7.3,327,"2606 of 3143"
"Todd County, Minnesota",27153,7.3,658,"2605 of 3143"
"Iberia Parish, Louisiana",22045,7.3,1629,"2604 of 3143"
"Jefferson County, Texas",48245,7.3,6403,"2603 of 3143"
"Alamosa County, Colorado",08003,7.3,361,"2602 of 3143"
"Grayson County, Kentucky",21085,7.3,646,"2601 of 3143"
"Pierce County, Georgia",13229,7.3,473,"2600 of 3143"
"Bristol County, Massachusetts",25005,7.3,14122,"2599 of 3143"
"Mellette County, South Dakota",46095,7.3,43,"2598 of 3143"
"Dade County, Georgia",13083,7.3,397,"2597 of 3143"
"Bacon County, Georgia",13005,7.3,252,"2596 of 3143"
"Lawrence County, Tennessee",47099,7.3,1027,"2595 of 3143"
"Mendocino County, California",06045,7.3,2329,"2594 of 3143"
"Tehama County, California",06103,7.2,1598,"2593 of 3143"
"Polk County, Texas",48373,7.2,1403,"2592 of 3143"
"Huerfano County, Colorado",08055,7.2,181,"2591 of 3143"
"Essex County, New Jersey",34013,7.2,19620,"2590 of 3143"
"Crittenden County, Kentucky",21055,7.2,229,"2589 of 3143"
"Santa Cruz County, Arizona",04023,7.2,1030,"2588 of 3143"
"Smyth County, Virginia",51173,7.2,774,"2587 of 3143"
"Jones County, Mississippi",28067,7.2,1517,"2586 of 3143"
"Sussex County, Virginia",51183,7.2,356,"2585 of 3143"
"Bamberg County, South Carolina",45009,7.2,292,"2584 of 3143"
"Burke County, North Carolina",37023,7.2,2246,"2583 of 3143"
"Carroll County, Mississippi",28015,7.2,268,"2582 of 3143"
"Jim Hogg County, Texas",48247,7.2,90,"2581 of 3143"
"Jackson County, West Virginia",54035,7.2,700,"2580 of 3143"
"Wayne County, Tennessee",47181,7.2,493,"2579 of 3143"
"Jackson County, Oklahoma",40065,7.2,568,"2578 of 3143"
"Caldwell County, North Carolina",37027,7.2,2036,"2577 of 3143"
"Johnson County, Tennessee",47091,7.2,526,"2576 of 3143"
"Brunswick County, Virginia",51025,7.1,448,"2575 of 3143"
"Tyler County, Texas",48457,7.1,554,"2574 of 3143"
"Hempstead County, Arkansas",05057,7.1,443,"2573 of 3143"
"Henry County, Tennessee",47079,7.1,792,"2572 of 3143"
"Avery County, North Carolina",37011,7.1,546,"2571 of 3143"
"Grimes County, Texas",48185,7.1,793,"2570 of 3143"
"Madison County, Arkansas",05087,7.1,418,"2569 of 3143"
"Pointe Coupee Parish, Louisiana",22077,7.1,484,"2568 of 3143"
"Grant Parish, Louisiana",22043,7.1,657,"2567 of 3143"
"Allendale County, South Carolina",45005,7.1,216,"2566 of 3143"
"McCurtain County, Oklahoma",40089,7.1,706,"2565 of 3143"
"Kaufman County, Texas",48257,7.1,3058,"2564 of 3143"
"Malheur County, Oregon",41045,7.1,811,"2563 of 3143"
"Bradley County, Arkansas",05011,7.0,240,"2562 of 3143"
"Banks County, Georgia",13011,7.0,435,"2561 of 3143"
"St. Francis County, Arkansas",05123,7.0,666,"2560 of 3143"
"Wayne County, North Carolina",37191,7.0,2620,"2559 of 3143"
"Aurora County, South Dakota",46003,7.0,65,"2558 of 3143"
"Chowan County, North Carolina",37041,7.0,346,"2557 of 3143"
"Morton County, Kansas",20129,7.0,62,"2555 of 3143"
"Yadkin County, North Carolina",37197,7.0,903,"2555 of 3143"
"Lee County, Texas",48287,7.0,421,"2554 of 3143"
"Lee County, North Carolina",37105,7.0,1424,"2553 of 3143"
"Clarke County, Mississippi",28023,7.0,345,"2552 of 3143"
"Bullock County, Alabama",01011,7.0,259,"2551 of 3143"
"Sequatchie County, Tennessee",47153,7.0,398,"2550 of 3143"
"Walthall County, Mississippi",28147,7.0,306,"2549 of 3143"
"Lancaster County, Pennsylvania",42071,7.0,12534,"2548 of 3143"
"Mississippi County, Missouri",29133,6.9,345,"2547 of 3143"
"Petersburg City, Virginia",51730,6.9,702,"2546 of 3143"
"Cannon County, Tennessee",47015,6.9,347,"2545 of 3143"
"Eastland County, Texas",48133,6.9,412,"2544 of 3143"
"Apache County, Arizona",04001,6.9,1452,"2543 of 3143"
"Orange County, California",06059,6.9,74426,"2542 of 3143"
"Gwinnett County, Georgia",13135,6.9,20174,"2541 of 3143"
"Tazewell County, Virginia",51185,6.9,999,"2540 of 3143"
"Houston County, Texas",48225,6.9,620,"2539 of 3143"
"Cass County, Indiana",18017,6.9,880,"2538 of 3143"
"Roane County, West Virginia",54087,6.9,348,"2537 of 3143"
"Hardy County, West Virginia",54031,6.9,372,"2536 of 3143"
"Phillips County, Arkansas",05107,6.9,337,"2535 of 3143"
"Arkansas County, Arkansas",05001,6.9,391,"2534 of 3143"
"Sharp County, Arkansas",05135,6.9,414,"2533 of 3143"
"Angelina County, Texas",48005,6.8,1869,"2532 of 3143"
"Oregon County, Missouri",29149,6.8,206,"2531 of 3143"
"Gregg County, Texas",48183,6.8,2605,"2530 of 3143"
"Gentry County, Missouri",29075,6.8,143,"2529 of 3143"
"Sheridan County, North Dakota",38083,6.8,37,"2528 of 3143"
"Refugio County, Texas",48391,6.8,154,"2527 of 3143"
"Yolo County, California",06113,6.8,4247,"2526 of 3143"
"Haralson County, Georgia",13143,6.8,685,"2525 of 3143"
"Edgecombe County, North Carolina",37065,6.8,1049,"2524 of 3143"
"Irion County, Texas",48235,6.8,36,"2523 of 3143"
"Hampshire County, West Virginia",54027,6.8,591,"2522 of 3143"
"Coke County, Texas",48081,6.8,73,"2521 of 3143"
"Sebastian County, Arkansas",05131,6.8,2828,"2520 of 3143"
"Dunn County, North Dakota",38025,6.8,109,"2519 of 3143"
"Wise County, Texas",48497,6.8,1549,"2518 of 3143"
"Eddy County, New Mexico",35015,6.8,1357,"2517 of 3143"
"Lyon County, Kansas",20111,6.8,642,"2516 of 3143"
"San Miguel County, New Mexico",35047,6.8,669,"2515 of 3143"
"Lander County, Nevada",32015,6.8,146,"2514 of 3143"
"Copiah County, Mississippi",28029,6.8,603,"2513 of 3143"
"Union County, South Carolina",45087,6.8,605,"2512 of 3143"
"Chambers County, Alabama",01017,6.8,789,"2511 of 3143"
"Bexar County, Texas",48029,6.8,42109,"2510 of 3143"
"Lamar County, Alabama",01075,6.8,321,"2509 of 3143"
"Kleberg County, Texas",48273,6.7,600,"2508 of 3143"
"Carlisle County, Kentucky",21039,6.7,108,"2507 of 3143"
"Sunflower County, Mississippi",28133,6.7,657,"2506 of 3143"
"Lake County, Colorado",08065,6.7,194,"2505 of 3143"
"Hale County, Alabama",01065,6.7,311,"2504 of 3143"
"Pondera County, Montana",30073,6.7,138,"2503 of 3143"
"Tallapoosa County, Alabama",01123,6.7,935,"2502 of 3143"
"Campbell County, South Dakota",46021,6.7,35,"2501 of 3143"
"Floyd County, Georgia",13115,6.7,2112,"2500 of 3143"
"Saguache County, Colorado",08109,6.7,160,"2499 of 3143"
"Columbus County, North Carolina",37047,6.7,1203,"2498 of 3143"
"Crenshaw County, Alabama",01041,6.7,297,"2497 of 3143"
"Wayne County, Illinois",17191,6.7,372,"2496 of 3143"
"De Soto Parish, Louisiana",22031,6.7,579,"2495 of 3143"
"Laurens County, South Carolina",45059,6.7,1468,"2494 of 3143"
"Morgan County, Alabama",01103,6.6,2731,"2493 of 3143"
"Johnson County, Kentucky",21115,6.6,516,"2492 of 3143"
"Weld County, Colorado",08123,6.6,7027,"2491 of 3143"
"Prince Edward County, Virginia",51147,6.6,408,"2490 of 3143"
"Humboldt County, Nevada",32013,6.6,395,"2489 of 3143"
"Kimble County, Texas",48267,6.6,103,"2488 of 3143"
"Crittenden County, Arkansas",05035,6.6,938,"2487 of 3143"
"Tarrant County, Texas",48439,6.6,42905,"2486 of 3143"
"Hamilton County, Kansas",20075,6.6,59,"2485 of 3143"
"Freestone County, Texas",48161,6.6,468,"2484 of 3143"
"Marshall County, Mississippi",28093,6.6,783,"2483 of 3143"
"Graham County, North Carolina",37075,6.6,187,"2482 of 3143"
"Rabun County, Georgia",13241,6.6,402,"2481 of 3143"
"Vance County, North Carolina",37181,6.6,856,"2480 of 3143"
"Smith County, Texas",48423,6.6,4720,"2479 of 3143"
"Valencia County, New Mexico",35061,6.6,1683,"2478 of 3143"
"Choctaw County, Oklahoma",40023,6.5,304,"2477 of 3143"
"Sullivan County, New York",36105,6.5,1858,"2476 of 3143"
"Young County, Texas",48503,6.5,399,"2475 of 3143"
"Lauderdale County, Tennessee",47097,6.5,584,"2474 of 3143"
"Guadalupe County, New Mexico",35019,6.5,140,"2473 of 3143"
"Ellis County, Oklahoma",40045,6.5,85,"2472 of 3143"
"West Feliciana Parish, Louisiana",22125,6.5,533,"2471 of 3143"
"Gillespie County, Texas",48171,6.5,608,"2470 of 3143"
"Jefferson Parish, Louisiana",22051,6.5,9583,"2469 of 3143"
"Payette County, Idaho",16075,6.5,527,"2468 of 3143"
"Mower County, Minnesota",27099,6.5,870,"2467 of 3143"
"Conejos County, Colorado",08021,6.5,163,"2466 of 3143"
"Aleutians East Borough, Alaska",02013,6.5,101,"2465 of 3143"
"Twin Falls County, Idaho",16083,6.5,1807,"2464 of 3143"
"McMinn County, Tennessee",47107,6.5,1171,"2463 of 3143"
"Woodbury County, Iowa",19193,6.5,2145,"2462 of 3143"
"Lafayette County, Arkansas",05073,6.5,142,"2461 of 3143"
"Hartley County, Texas",48205,6.5,164,"2460 of 3143"
"Ripley County, Missouri",29181,6.5,240,"2459 of 3143"
"Liberty County, Florida",12077,6.5,229,"2458 of 3143"
"Jenkins County, Georgia",13165,6.5,192,"2457 of 3143"
"Boone County, Illinois",17007,6.5,1133,"2456 of 3143"
"Lake County, Oregon",41037,6.5,211,"2455 of 3143"
"Sonoma County, California",06097,6.5,11151,"2454 of 3143"
"Martinsville City, Virginia",51690,6.5,255,"2453 of 3143"
"Lake County, Michigan",26085,6.5,317,"2452 of 3143"
"Logan County, Kentucky",21141,6.4,578,"2451 of 3143"
"Caddo County, Oklahoma",40015,6.4,630,"2450 of 3143"
"Attala County, Mississippi",28007,6.4,362,"2449 of 3143"
"Madison County, Georgia",13195,6.4,649,"2448 of 3143"
"Providence County, Rhode Island",44007,6.4,14036,"2447 of 3143"
"Tangipahoa Parish, Louisiana",22105,6.4,2671,"2446 of 3143"
"Lunenburg County, Virginia",51111,6.4,297,"2445 of 3143"
"Garfield County, Colorado",08045,6.4,1348,"2444 of 3143"
"St. Martin Parish, Louisiana",22099,6.4,1104,"2443 of 3143"
"Schleicher County, Texas",48413,6.4,59,"2442 of 3143"
"Harper County, Oklahoma",40059,6.4,74,"2441 of 3143"
"Durham County, North Carolina",37063,6.4,6686,"2440 of 3143"
"Tensas Parish, Louisiana",22107,6.4,91,"2439 of 3143"
"Crawford County, Missouri",29055,6.4,512,"2438 of 3143"
"Hand County, South Dakota",46059,6.4,73,"2436 of 3143"
"Lawrence County, Alabama",01079,6.4,722,"2436 of 3143"
"Cocke County, Tennessee",47029,6.4,801,"2435 of 3143"
"Curry County, New Mexico",35009,6.4,962,"2434 of 3143"
"Brooks County, Georgia",13027,6.4,338,"2433 of 3143"
"Grayson County, Virginia",51077,6.4,387,"2432 of 3143"
"Wayne County, Georgia",13305,6.4,662,"2431 of 3143"
"Daviess County, Missouri",29061,6.4,179,"2430 of 3143"
"Meigs County, Tennessee",47121,6.4,292,"2429 of 3143"
"Renville County, North Dakota",38075,6.4,51,"2428 of 3143"
"Del Norte County, California",06015,6.4,685,"2427 of 3143"
"Marion County, Alabama",01093,6.4,651,"2426 of 3143"
"Franklin County, Arkansas",05047,6.4,357,"2425 of 3143"
"Spink County, South Dakota",46115,6.3,144,"2424 of 3143"
"Van Zandt County, Texas",48467,6.3,1255,"2423 of 3143"
"Alleghany County, North Carolina",37005,6.3,265,"2422 of 3143"
"Caroline County, Maryland",24011,6.3,694,"2421 of 3143"
"Southampton County, Virginia",51175,6.3,450,"2420 of 3143"
"Walker County, Alabama",01127,6.3,1384,"2419 of 3143"
"Westchester County, New York",36119,6.3,20920,"2418 of 3143"
"Jackson County, Arkansas",05067,6.3,372,"2417 of 3143"
"Rowan County, Kentucky",21205,6.3,432,"2416 of 3143"
"St. Bernard Parish, Louisiana",22087,6.3,877,"2415 of 3143"
"Washington County, Kentucky",21229,6.3,251,"2414 of 3143"
"Ellis County, Texas",48139,6.3,3703,"2413 of 3143"
"Grant County, North Dakota",38037,6.3,57,"2411 of 3143"
"Lassen County, California",06035,6.3,1001,"2411 of 3143"
"Washington County, Virginia",51191,6.3,1238,"2410 of 3143"
"Clayton County, Georgia",13063,6.3,5180,"2409 of 3143"
"Cook County, Illinois",17031,6.3,110314,"2408 of 3143"
"Brantley County, Georgia",13025,6.3,392,"2407 of 3143"
"Seminole County, Georgia",13253,6.3,197,"2406 of 3143"
"Ben Hill County, Georgia",13017,6.3,333,"2405 of 3143"
"Lincoln County, Arkansas",05079,6.3,400,"2404 of 3143"
"Highlands County, Florida",12055,6.2,2355,"2403 of 3143"
"Falls County, Texas",48145,6.2,338,"2402 of 3143"
"Eddy County, North Dakota",38027,6.2,54,"2401 of 3143"
"Kodiak Island Borough, Alaska",02150,6.2,286,"2400 of 3143"
"Calhoun County, West Virginia",54013,6.2,152,"2399 of 3143"
"Burnet County, Texas",48053,6.2,1049,"2398 of 3143"
"Pembina County, North Dakota",38067,6.2,161,"2397 of 3143"
"Logan County, West Virginia",54045,6.2,710,"2396 of 3143"
"Waynesboro City, Virginia",51820,6.2,448,"2395 of 3143"
"St. Joseph County, Michigan",26149,6.2,1257,"2394 of 3143"
"Simpson County, Mississippi",28127,6.2,517,"2393 of 3143"
"Blanco County, Texas",48031,6.2,265,"2392 of 3143"
"Winn Parish, Louisiana",22127,6.2,340,"2391 of 3143"
"Wirt County, West Virginia",54105,6.2,120,"2390 of 3143"
"Crisp County, Georgia",13081,6.2,391,"2389 of 3143"
"Larue County, Kentucky",21123,6.2,322,"2388 of 3143"
"Dallas County, Missouri",29059,6.2,346,"2387 of 3143"
"Winston County, Mississippi",28159,6.2,370,"2386 of 3143"
"Rockingham County, Virginia",51165,6.2,1720,"2385 of 3143"
"Early County, Georgia",13099,6.2,197,"2384 of 3143"
"Victoria County, Texas",48469,6.2,1773,"2383 of 3143"
"Montague County, Texas",48337,6.2,416,"2382 of 3143"
"Rusk County, Texas",48401,6.1,1201,"2381 of 3143"
"Collier County, Florida",12021,6.1,8567,"2380 of 3143"
"Upson County, Georgia",13293,6.1,534,"2379 of 3143"
"Chambers County, Texas",48071,6.1,870,"2378 of 3143"
"Costilla County, Colorado",08023,6.1,84,"2377 of 3143"
"Fannin County, Texas",48147,6.1,812,"2376 of 3143"
"Coal County, Oklahoma",40029,6.1,107,"2375 of 3143"
"Palo Pinto County, Texas",48363,6.1,573,"2374 of 3143"
"Bibb County, Alabama",01007,6.1,543,"2373 of 3143"
"Milam County, Texas",48331,6.1,499,"2372 of 3143"
"Rappahannock County, Virginia",51157,6.1,167,"2371 of 3143"
"Westmoreland County, Virginia",51193,6.1,392,"2370 of 3143"
"Cooke County, Texas",48097,6.1,830,"2368 of 3143"
"San Jacinto County, Texas",48407,6.1,579,"2368 of 3143"
"Toombs County, Georgia",13279,6.1,480,"2367 of 3143"
"Erath County, Texas",48143,6.1,749,"2366 of 3143"
"Allamakee County, Iowa",19005,6.1,301,"2365 of 3143"
"Jackson County, Alabama",01071,6.1,1110,"2364 of 3143"
"Waller County, Texas",48473,6.1,956,"2363 of 3143"
"Walker County, Texas",48471,6.1,1893,"2362 of 3143"
"Palm Beach County, Florida",12099,6.1,31630,"2361 of 3143"
"Nottoway County, Virginia",51135,6.1,383,"2360 of 3143"
"Upshur County, West Virginia",54097,6.1,494,"2359 of 3143"
"Culpeper County, Virginia",51047,6.1,1053,"2358 of 3143"
"Adair County, Oklahoma",40001,6.1,384,"2356 of 3143"
"Nueces County, Texas",48355,6.1,6857,"2356 of 3143"
"Marion County, Kentucky",21155,6.1,401,"2355 of 3143"
"Putnam County, Florida",12107,6.0,1556,"2354 of 3143"
"Allen Parish, Louisiana",22003,6.0,578,"2352 of 3143"
"Christian County, Kentucky",21047,6.0,1236,"2352 of 3143"
"Greeley County, Kansas",20071,6.0,26,"2351 of 3143"
"Clarendon County, South Carolina",45027,6.0,656,"2350 of 3143"
"Grundy County, Missouri",29079,6.0,196,"2349 of 3143"
"La Paz County, Arizona",04012,6.0,406,"2348 of 3143"
"Middlesex County, Virginia",51119,6.0,253,"2347 of 3143"
"Mercer County, West Virginia",54055,6.0,1192,"2346 of 3143"
"Perry County, Missouri",29157,6.0,388,"2345 of 3143"
"Bollinger County, Missouri",29017,6.0,233,"2344 of 3143"
"Childress County, Texas",48075,6.0,197,"2343 of 3143"
"Franklin County, Alabama",01059,6.0,631,"2342 of 3143"
"Catron County, New Mexico",35003,6.0,92,"2341 of 3143"
"Anderson County, Texas",48001,6.0,1645,"2340 of 3143"
"Pushmataha County, Oklahoma",40127,6.0,224,"2339 of 3143"
"Pendleton County, Kentucky",21191,6.0,305,"2337 of 3143"
"Sacramento County, California",06067,6.0,31046,"2337 of 3143"
"Platte County, Nebraska",31141,6.0,685,"2336 of 3143"
"Trinity County, Texas",48455,6.0,289,"2335 of 3143"
"Covington County, Mississippi",28031,6.0,337,"2334 of 3143"
"Sullivan County, Missouri",29211,6.0,121,"2333 of 3143"
"Halifax County, North Carolina",37083,6.0,994,"2332 of 3143"
"Modoc County, California",06049,6.0,201,"2331 of 3143"
"Ballard County, Kentucky",21007,6.0,162,"2330 of 3143"
"Randolph County, North Carolina",37151,6.0,2920,"2329 of 3143"
"Dillon County, South Carolina",45033,6.0,520,"2328 of 3143"
"Bethel Census Area, Alaska",02050,6.0,319,"2327 of 3143"
"Prentiss County, Mississippi",28117,6.0,480,"2326 of 3143"
"Miller County, Arkansas",05091,6.0,836,"2325 of 3143"
"Rutherford County, North Carolina",37161,6.0,1308,"2324 of 3143"
"Gibson County, Tennessee",47053,5.9,960,"2323 of 3143"
"Gulf County, Florida",12045,5.9,407,"2322 of 3143"
"Washington Parish, Louisiana",22117,5.9,905,"2321 of 3143"
"Charles City County, Virginia",51036,5.9,155,"2320 of 3143"
"Montgomery County, Kentucky",21173,5.9,537,"2319 of 3143"
"Burke County, Georgia",13033,5.9,411,"2318 of 3143"
"Major County, Oklahoma",40093,5.9,152,"2317 of 3143"
"Fayette County, Indiana",18041,5.9,472,"2316 of 3143"
"Emmons County, North Dakota",38029,5.9,75,"2315 of 3143"
"Seneca County, New York",36099,5.9,760,"2314 of 3143"
"Pope County, Arkansas",05115,5.9,1190,"2313 of 3143"
"Bingham County, Idaho",16011,5.9,849,"2312 of 3143"
"Lee County, South Carolina",45061,5.9,358,"2311 of 3143"
"Dent County, Missouri",29065,5.9,298,"2310 of 3143"
"Lawrence County, Arkansas",05075,5.9,314,"2309 of 3143"
"Mason County, West Virginia",54053,5.9,519,"2308 of 3143"
"Brazos County, Texas",48041,5.9,3656,"2307 of 3143"
"Louisa County, Iowa",19115,5.9,226,"2306 of 3143"
"Otero County, Colorado",08089,5.9,364,"2305 of 3143"
"Prince William County, Virginia",51153,5.9,8906,"2304 of 3143"
"Geauga County, Ohio",39055,5.9,1902,"2303 of 3143"
"Cleburne County, Arkansas",05023,5.9,534,"2302 of 3143"
"Greensville County, Virginia",51081,5.9,342,"2301 of 3143"
"Prairie County, Arkansas",05117,5.9,170,"2300 of 3143"
"Lincoln County, Mississippi",28085,5.8,646,"2299 of 3143"
"Burleson County, Texas",48051,5.8,359,"2298 of 3143"
"Muhlenberg County, Kentucky",21177,5.8,625,"2297 of 3143"
"Medina County, Texas",48325,5.8,1014,"2296 of 3143"
"Dougherty County, Georgia",13095,5.8,1446,"2295 of 3143"
"Tucker County, West Virginia",54093,5.8,157,"2294 of 3143"
"Juniata County, Pennsylvania",42067,5.8,482,"2293 of 3143"
"Holmes County, Florida",12059,5.8,449,"2292 of 3143"
"Wood County, Texas",48499,5.8,919,"2291 of 3143"
"Le Flore County, Oklahoma",40079,5.8,935,"2290 of 3143"
"Washington County, Indiana",18175,5.8,554,"2289 of 3143"
"Washington County, Alabama",01129,5.8,314,"2288 of 3143"
"Washington County, Texas",48477,5.8,647,"2287 of 3143"
"Perkins County, Nebraska",31135,5.8,57,"2286 of 3143"
"Rains County, Texas",48379,5.8,245,"2285 of 3143"
"Elmore County, Idaho",16039,5.8,536,"2284 of 3143"
"Jefferson County, Oregon",41031,5.8,501,"2283 of 3143"
"Petersburg Census Area, Alaska",02195,5.8,76,"2282 of 3143"
"Rockingham County, North Carolina",37157,5.8,1802,"2281 of 3143"
"Vernon County, Wisconsin",55123,5.8,596,"2280 of 3143"
"Kingfisher County, Oklahoma",40073,5.8,275,"2279 of 3143"
"Ware County, Georgia",13299,5.8,702,"2278 of 3143"
"Lake County, California",06033,5.8,1398,"2277 of 3143"
"Greenbrier County, West Virginia",54025,5.8,679,"2276 of 3143"
"Highland County, Ohio",39071,5.8,818,"2275 of 3143"
"Clay County, Arkansas",05021,5.7,287,"2274 of 3143"
