Demographic Data Report for United States by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Male"
2017-2021 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Willacy County, Texas",48489,13.8,997,"3044 of 3143"
"Issaquena County, Mississippi",28055,13.8,86,"3043 of 3143"
"Lewis County, Kentucky",21135,13.7,623,"3042 of 3143"
"Greene County, North Carolina",37079,13.6,1092,"3041 of 3143"
"Murray County, Georgia",13213,13.5,1786,"3040 of 3143"
"Titus County, Texas",48449,13.5,1255,"3039 of 3143"
"Swisher County, Texas",48437,13.4,334,"3038 of 3143"
"Dakota County, Nebraska",31043,13.3,860,"3037 of 3143"
"Bell County, Kentucky",21013,13.2,1095,"3036 of 3143"
"Kern County, California",06029,13.2,37398,"3035 of 3143"
"Holmes County, Mississippi",28051,13.1,656,"3034 of 3143"
"Van Buren County, Tennessee",47175,13.0,295,"3033 of 3143"
"Stewart County, Georgia",13259,12.9,388,"3032 of 3143"
"Jackson County, Kentucky",21109,12.8,567,"3031 of 3143"
"Hale County, Texas",48189,12.7,1348,"3030 of 3143"
"Yuma County, Arizona",04027,12.7,8353,"3029 of 3143"
"Lamb County, Texas",48279,12.7,517,"3028 of 3143"
"Potter County, Texas",48375,12.7,4982,"3027 of 3143"
"Washington County, North Carolina",37187,12.7,457,"3026 of 3143"
"DeKalb County, Alabama",01049,12.6,2978,"3025 of 3143"
"Jerome County, Idaho",16053,12.6,944,"3024 of 3143"
"Fresno County, California",06019,12.6,38541,"3023 of 3143"
"Letcher County, Kentucky",21133,12.5,943,"3022 of 3143"
"Lea County, New Mexico",35025,12.5,2785,"3021 of 3143"
"Minidoka County, Idaho",16067,12.4,829,"3020 of 3143"
"Winkler County, Texas",48495,12.4,295,"3019 of 3143"
"Kent County, Texas",48263,12.4,26,"3018 of 3143"
"Stanton County, Kansas",20187,12.4,87,"3017 of 3143"
"Morgan County, Kentucky",21175,12.3,712,"3016 of 3143"
"Noxubee County, Mississippi",28103,12.3,383,"3015 of 3143"
"Hood River County, Oregon",41027,12.3,1010,"3014 of 3143"
"Lee County, Virginia",51105,12.3,1097,"3013 of 3143"
"Bronx County, New York",36005,12.2,53399,"3012 of 3143"
"Perry County, Tennessee",47135,12.2,350,"3011 of 3143"
"Santa Barbara County, California",06083,12.2,16935,"3010 of 3143"
"Floyd County, Kentucky",21071,12.2,1450,"3009 of 3143"
"Morrow County, Oregon",41049,12.2,472,"3008 of 3143"
"Lincoln County, Idaho",16063,12.1,210,"3007 of 3143"
"Skagway Municipality, Alaska",02230,12.1,67,"3006 of 3143"
"Hart County, Kentucky",21099,12.1,761,"3005 of 3143"
"Upton County, Texas",48461,12.1,135,"3004 of 3143"
"Crosby County, Texas",48107,12.1,207,"3003 of 3143"
"Buchanan County, Virginia",51027,12.0,943,"3002 of 3143"
"Hardee County, Florida",12049,12.0,1062,"3001 of 3143"
"Luna County, New Mexico",35029,11.9,988,"3000 of 3143"
"Imperial County, California",06025,11.9,6732,"2999 of 3143"
"Pemiscot County, Missouri",29155,11.8,563,"2998 of 3143"
"Tillman County, Oklahoma",40141,11.8,286,"2997 of 3143"
"Bailey County, Texas",48017,11.8,259,"2996 of 3143"
"Clark County, Wisconsin",55019,11.8,1286,"2995 of 3143"
"Evangeline Parish, Louisiana",22039,11.7,1277,"2994 of 3143"
"Chickasaw County, Mississippi",28017,11.7,636,"2993 of 3143"
"Buena Vista County, Iowa",19021,11.7,794,"2992 of 3143"
"Habersham County, Georgia",13137,11.7,1691,"2991 of 3143"
"Hall County, Georgia",13139,11.7,7650,"2990 of 3143"
"Grant County, Washington",53025,11.6,3564,"2989 of 3143"
"Harlan County, Kentucky",21095,11.6,1041,"2988 of 3143"
"Charlton County, Georgia",13049,11.6,634,"2987 of 3143"
"Bath County, Virginia",51017,11.6,195,"2986 of 3143"
"Beadle County, South Dakota",46005,11.6,738,"2985 of 3143"
"Quitman County, Georgia",13239,11.5,95,"2984 of 3143"
"Mingo County, West Virginia",54059,11.5,925,"2983 of 3143"
"Douglas County, Illinois",17041,11.5,742,"2982 of 3143"
"Zavala County, Texas",48507,11.5,345,"2981 of 3143"
"St. Landry Parish, Louisiana",22097,11.5,2911,"2980 of 3143"
"San Joaquin County, California",06077,11.5,27586,"2979 of 3143"
"Todd County, Kentucky",21219,11.4,454,"2978 of 3143"
"Pecos County, Texas",48371,11.4,701,"2977 of 3143"
"Morgan County, Colorado",08087,11.4,1096,"2976 of 3143"
"Scott County, Virginia",51169,11.4,923,"2975 of 3143"
"Rockcastle County, Kentucky",21203,11.4,636,"2974 of 3143"
"San Saba County, Texas",48411,11.4,226,"2973 of 3143"
"Coffee County, Georgia",13069,11.4,1649,"2972 of 3143"
"Chaves County, New Mexico",35005,11.3,2307,"2971 of 3143"
"Los Angeles County, California",06037,11.3,383379,"2970 of 3143"
"Dallas County, Texas",48113,11.3,92462,"2969 of 3143"
"Jeff Davis County, Georgia",13161,11.2,514,"2968 of 3143"
"Desha County, Arkansas",05041,11.2,398,"2967 of 3143"
"Banner County, Nebraska",31007,11.2,27,"2966 of 3143"
"Stanislaus County, California",06099,11.1,19083,"2965 of 3143"
"Douglas County, Washington",53017,11.1,1576,"2964 of 3143"
"Grainger County, Tennessee",47057,11.1,922,"2963 of 3143"
"Carroll County, Virginia",51035,11.1,1214,"2962 of 3143"
"Harris County, Texas",48201,11.1,164552,"2961 of 3143"
"Haskell County, Texas",48207,11.1,221,"2960 of 3143"
"Wayne County, Mississippi",28153,11.1,672,"2959 of 3143"
"Sutter County, California",06101,11.0,3515,"2958 of 3143"
"Scott County, Mississippi",28123,11.0,932,"2957 of 3143"
"Prowers County, Colorado",08099,11.0,414,"2956 of 3143"
"Echols County, Georgia",13101,11.0,126,"2955 of 3143"
"Edmonson County, Kentucky",21061,11.0,482,"2954 of 3143"
"Matagorda County, Texas",48321,11.0,1311,"2953 of 3143"
"Carter County, Kentucky",21043,10.9,969,"2952 of 3143"
"Macon County, Tennessee",47111,10.9,876,"2951 of 3143"
"Clay County, Tennessee",47027,10.9,295,"2950 of 3143"
"McDonald County, Missouri",29119,10.9,858,"2949 of 3143"
"Iron County, Missouri",29093,10.9,369,"2948 of 3143"
"Dona Ana County, New Mexico",35013,10.9,7078,"2947 of 3143"
"King County, Texas",48269,10.9,10,"2946 of 3143"
"Chattooga County, Georgia",13055,10.8,948,"2945 of 3143"
"Russell County, Virginia",51167,10.8,1018,"2944 of 3143"
"Wolfe County, Kentucky",21237,10.8,228,"2943 of 3143"
"Liberty County, Texas",48291,10.8,2988,"2942 of 3143"
"Edwards County, Texas",48137,10.8,50,"2941 of 3143"
"McCreary County, Kentucky",21147,10.7,700,"2940 of 3143"
"Runnels County, Texas",48399,10.7,364,"2939 of 3143"
"Adams County, Indiana",18001,10.7,1115,"2938 of 3143"
"Harrisonburg City, Virginia",51660,10.7,1421,"2937 of 3143"
"Webster County, West Virginia",54101,10.6,314,"2936 of 3143"
"Yazoo County, Mississippi",28163,10.6,1282,"2935 of 3143"
"Kinney County, Texas",48271,10.6,156,"2934 of 3143"
"Pike County, Kentucky",21195,10.6,2125,"2933 of 3143"
"Hancock County, Tennessee",47067,10.5,248,"2932 of 3143"
"Wheeler County, Texas",48483,10.5,175,"2931 of 3143"
"Greene County, Mississippi",28041,10.5,634,"2930 of 3143"
"Jackson County, Tennessee",47087,10.5,455,"2929 of 3143"
"Franklin County, Mississippi",28037,10.4,264,"2928 of 3143"
"Barnwell County, South Carolina",45011,10.4,688,"2927 of 3143"
"Metcalfe County, Kentucky",21169,10.4,356,"2926 of 3143"
"Warren County, Georgia",13301,10.4,186,"2925 of 3143"
"Blaine County, Oklahoma",40011,10.4,354,"2924 of 3143"
"Johnson County, Arkansas",05071,10.4,864,"2923 of 3143"
"Tishomingo County, Mississippi",28141,10.4,662,"2922 of 3143"
"Lincoln County, West Virginia",54043,10.4,746,"2921 of 3143"
"Anderson County, Kansas",20003,10.4,263,"2920 of 3143"
"Karnes County, Texas",48255,10.4,631,"2919 of 3143"
"McDowell County, West Virginia",54047,10.4,730,"2918 of 3143"
"Wharton County, Texas",48481,10.4,1343,"2917 of 3143"
"Cherokee County, Texas",48073,10.3,1714,"2916 of 3143"
"Perry County, Kentucky",21193,10.3,986,"2915 of 3143"
"Wyandotte County, Kansas",20209,10.2,5395,"2914 of 3143"
"La Salle County, Texas",48283,10.2,290,"2913 of 3143"
"Caldwell County, Texas",48055,10.2,1473,"2912 of 3143"
"El Paso County, Texas",48141,10.2,26050,"2911 of 3143"
"Madison Parish, Louisiana",22065,10.1,333,"2910 of 3143"
"Fulton County, Kentucky",21075,10.1,219,"2909 of 3143"
"Saluda County, South Carolina",45081,10.1,678,"2908 of 3143"
"Gordon County, Georgia",13129,10.1,1913,"2907 of 3143"
"Calhoun County, Florida",12013,10.1,568,"2906 of 3143"
"Gray County, Texas",48179,10.1,763,"2905 of 3143"
"Carroll County, Arkansas",05015,10.0,976,"2904 of 3143"
"Assumption Parish, Louisiana",22007,10.0,700,"2903 of 3143"
"San Benito County, California",06069,10.0,2074,"2902 of 3143"
"Jackson County, Texas",48239,10.0,494,"2901 of 3143"
"Coleman County, Texas",48083,9.9,294,"2900 of 3143"
"Crawford County, Iowa",19047,9.9,520,"2899 of 3143"
"Howard County, Texas",48227,9.9,1374,"2898 of 3143"
"Harmon County, Oklahoma",40057,9.9,88,"2897 of 3143"
"Russell County, Kentucky",21207,9.9,591,"2896 of 3143"
"Hockley County, Texas",48219,9.9,668,"2895 of 3143"
"Adair County, Kentucky",21001,9.9,613,"2894 of 3143"
"Tattnall County, Georgia",13267,9.9,921,"2893 of 3143"
"Noble County, Indiana",18113,9.8,1563,"2892 of 3143"
"Colorado County, Texas",48089,9.8,683,"2891 of 3143"
"Bath County, Kentucky",21011,9.8,406,"2890 of 3143"
"Clay County, West Virginia",54015,9.8,275,"2889 of 3143"
"Union County, Tennessee",47173,9.7,657,"2888 of 3143"
"Plaquemines Parish, Louisiana",22075,9.7,723,"2887 of 3143"
"LaMoure County, North Dakota",38045,9.7,145,"2886 of 3143"
"Caldwell Parish, Louisiana",22021,9.7,336,"2885 of 3143"
"Fleming County, Kentucky",21069,9.7,487,"2884 of 3143"
"Tippah County, Mississippi",28139,9.7,666,"2883 of 3143"
"Scurry County, Texas",48415,9.7,600,"2882 of 3143"
"Lavaca County, Texas",48285,9.7,656,"2881 of 3143"
"Breathitt County, Kentucky",21025,9.7,467,"2880 of 3143"
"Taliaferro County, Georgia",13265,9.7,60,"2879 of 3143"
"Hall County, Nebraska",31079,9.6,1938,"2878 of 3143"
"Gonzales County, Texas",48177,9.6,611,"2877 of 3143"
"Adams County, Mississippi",28001,9.6,979,"2876 of 3143"
"Parke County, Indiana",18121,9.6,519,"2875 of 3143"
"Ector County, Texas",48135,9.6,4696,"2874 of 3143"
"Duplin County, North Carolina",37061,9.6,1554,"2873 of 3143"
"Navarro County, Texas",48349,9.6,1560,"2872 of 3143"
"Terrebonne Parish, Louisiana",22109,9.6,3401,"2871 of 3143"
"Buckingham County, Virginia",51029,9.6,685,"2870 of 3143"
"Lewis County, Tennessee",47101,9.5,401,"2869 of 3143"
"Goliad County, Texas",48175,9.5,229,"2868 of 3143"
"Queens County, New York",36081,9.5,78890,"2867 of 3143"
"Van Buren County, Iowa",19177,9.5,242,"2866 of 3143"
"Surry County, North Carolina",37171,9.5,2317,"2865 of 3143"
"Mills County, Texas",48333,9.5,158,"2864 of 3143"
"Reynolds County, Missouri",29179,9.5,222,"2863 of 3143"
"Lawrence County, Kentucky",21127,9.5,515,"2862 of 3143"
"Monroe County, Kentucky",21171,9.5,358,"2861 of 3143"
"Meade County, Kansas",20119,9.4,123,"2860 of 3143"
"Calhoun County, Texas",48057,9.4,656,"2859 of 3143"
"Yates County, New York",36123,9.4,757,"2858 of 3143"
"Claiborne County, Tennessee",47025,9.4,1044,"2857 of 3143"
"West Carroll Parish, Louisiana",22123,9.4,319,"2856 of 3143"
"Dickenson County, Virginia",51051,9.3,502,"2855 of 3143"
"Hardeman County, Texas",48197,9.3,119,"2854 of 3143"
"Catahoula Parish, Louisiana",22025,9.3,331,"2853 of 3143"
"Overton County, Tennessee",47133,9.3,716,"2852 of 3143"
"Bledsoe County, Tennessee",47007,9.3,664,"2851 of 3143"
"Powell County, Kentucky",21197,9.3,412,"2850 of 3143"
"Calhoun County, Georgia",13037,9.2,251,"2849 of 3143"
"Logan County, North Dakota",38047,9.2,64,"2848 of 3143"
"Panola County, Mississippi",28107,9.2,960,"2847 of 3143"
"Martin County, Texas",48317,9.2,144,"2846 of 3143"
"Humphreys County, Mississippi",28053,9.2,214,"2845 of 3143"
"Napa County, California",06055,9.2,4502,"2844 of 3143"
"Owen County, Kentucky",21187,9.2,358,"2843 of 3143"
"Marshall County, Iowa",19127,9.2,1210,"2842 of 3143"
"Ward County, Texas",48475,9.2,329,"2841 of 3143"
"Alcorn County, Mississippi",28003,9.1,1057,"2840 of 3143"
"Ohio County, Kentucky",21183,9.1,745,"2839 of 3143"
"Elkhart County, Indiana",18039,9.1,5829,"2838 of 3143"
"Coahoma County, Mississippi",28027,9.1,552,"2837 of 3143"
"Searcy County, Arkansas",05129,9.1,265,"2836 of 3143"
"Marshall County, Oklahoma",40095,9.1,473,"2835 of 3143"
"Concordia Parish, Louisiana",22029,9.1,586,"2834 of 3143"
"Grundy County, Tennessee",47061,9.1,418,"2833 of 3143"
"Sharkey County, Mississippi",28125,9.1,103,"2832 of 3143"
"Gilmer County, Georgia",13123,9.1,1045,"2831 of 3143"
"Atascosa County, Texas",48013,9.1,1391,"2830 of 3143"
"Pontotoc County, Mississippi",28115,9.0,893,"2829 of 3143"
"Moultrie County, Illinois",17139,9.0,424,"2828 of 3143"
"Okanogan County, Washington",53047,9.0,1353,"2827 of 3143"
"Terrell County, Georgia",13273,9.0,253,"2826 of 3143"
"Washington County, Mississippi",28151,9.0,1210,"2825 of 3143"
"Grant County, West Virginia",54023,9.0,364,"2824 of 3143"
"Colquitt County, Georgia",13071,9.0,1295,"2823 of 3143"
"Leflore County, Mississippi",28083,9.0,709,"2822 of 3143"
"Page County, Virginia",51139,9.0,773,"2821 of 3143"
"Randolph County, Georgia",13243,8.9,173,"2820 of 3143"
"Marshall County, South Dakota",46091,8.9,143,"2819 of 3143"
"Emporia City, Virginia",51595,8.9,150,"2818 of 3143"
"Riverside County, California",06065,8.9,69427,"2817 of 3143"
"Comanche County, Texas",48093,8.9,415,"2816 of 3143"
"Foard County, Texas",48155,8.9,36,"2815 of 3143"
"Pulaski County, Kentucky",21199,8.9,1942,"2814 of 3143"
"Swain County, North Carolina",37173,8.9,402,"2813 of 3143"
"Robertson County, Kentucky",21201,8.9,66,"2812 of 3143"
"Wise County, Virginia",51195,8.9,1221,"2811 of 3143"
"Tallahatchie County, Mississippi",28135,8.8,451,"2810 of 3143"
"Ventura County, California",06111,8.8,24998,"2809 of 3143"
"Bee County, Texas",48025,8.8,1215,"2808 of 3143"
"Umatilla County, Oregon",41059,8.8,2416,"2807 of 3143"
"Wayne County, Ohio",39169,8.8,3317,"2806 of 3143"
"Robeson County, North Carolina",37155,8.8,3177,"2805 of 3143"
"Barbour County, Alabama",01005,8.8,841,"2804 of 3143"
"Cimarron County, Oklahoma",40025,8.8,69,"2803 of 3143"
"Patrick County, Virginia",51141,8.8,593,"2802 of 3143"
"Allen County, Kentucky",21003,8.8,617,"2801 of 3143"
"DeWitt County, Texas",48123,8.8,648,"2800 of 3143"
"Jefferson County, Mississippi",28063,8.7,199,"2799 of 3143"
"Sumter County, Georgia",13261,8.7,768,"2798 of 3143"
"Chicot County, Arkansas",05017,8.7,308,"2797 of 3143"
"White County, Tennessee",47185,8.7,790,"2796 of 3143"
"Sampson County, North Carolina",37163,8.7,1682,"2795 of 3143"
"Summers County, West Virginia",54089,8.7,375,"2794 of 3143"
"Stonewall County, Texas",48433,8.7,33,"2793 of 3143"
"Northampton County, Virginia",51131,8.6,367,"2792 of 3143"
"Oldham County, Texas",48359,8.6,56,"2791 of 3143"
"Halifax County with South Boston City, Virginia",51083,8.6,996,"2790 of 3143"
"Jeff Davis County, Texas",48243,8.6,65,"2789 of 3143"
"Rio Grande County, Colorado",08105,8.6,342,"2788 of 3143"
"Marlboro County, South Carolina",45069,8.6,873,"2787 of 3143"
"Pike County, Arkansas",05109,8.6,301,"2786 of 3143"
"Manassas City, Virginia",51683,8.6,1186,"2785 of 3143"
"Cassia County, Idaho",16031,8.6,631,"2784 of 3143"
"McKinley County, New Mexico",35031,8.6,1843,"2783 of 3143"
"Beaver County, Oklahoma",40007,8.6,147,"2782 of 3143"
"Henry County, Kentucky",21103,8.5,443,"2781 of 3143"
"Passaic County, New Jersey",34031,8.5,14263,"2780 of 3143"
"Richmond County, North Carolina",37153,8.5,1178,"2779 of 3143"
"Franklin Parish, Louisiana",22041,8.5,534,"2778 of 3143"
"Tunica County, Mississippi",28143,8.5,251,"2777 of 3143"
"Lee County, Kentucky",21129,8.5,251,"2776 of 3143"
"Polk County, Tennessee",47139,8.5,547,"2775 of 3143"
"Gooding County, Idaho",16047,8.4,434,"2774 of 3143"
"Yuba County, California",06115,8.4,2143,"2773 of 3143"
"LaFourche Parish, Louisiana",22057,8.4,2753,"2772 of 3143"
"Shelby County, Texas",48419,8.4,642,"2771 of 3143"
