Demographic Data Report for United States by County,,,,
Poverty: Persons below poverty,,,,
"All Ages, Black (includes Hispanic), Male",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Maries County, Missouri",29125,96,24,2785 of 2897
"Alleghany County, North Carolina",37005,95.1,78,2784 of 2897
"Mason County, Illinois",17125,94.4,17,2782 of 2897
"Mitchell County, Kansas",20123,94.4,17,2782 of 2897
"Johnson County, Wyoming",56019,92.9,26,2781 of 2897
"Lewis County, Idaho",16061,88.9,16,2780 of 2897
"Harrison County, Kentucky",21097,88.2,90,2779 of 2897
"Hamilton County, Iowa",19079,87.9,80,2778 of 2897
"Sheridan County, Nebraska",31161,87.8,43,2777 of 2897
"Clay County, Tennessee",47027,87.6,85,2776 of 2897
"Roosevelt County, New Mexico",35041,87.6,106,2775 of 2897
"Fulton County, Arkansas",05049,87.5,14,2774 of 2897
"Chautauqua County, Kansas",20019,85.4,35,2773 of 2897
"Delaware County, Iowa",19055,85,17,2771 of 2897
"Republic County, Kansas",20157,85,17,2771 of 2897
"Dent County, Missouri",29065,84.3,43,2770 of 2897
"Jersey County, Illinois",17083,84.2,16,2769 of 2897
"Pike County, Indiana",18125,83.3,10,2768 of 2897
"Allen County, Kentucky",21003,83.2,79,2767 of 2897
"Pacific County, Washington",53049,83.1,49,2766 of 2897
"Ashland County, Wisconsin",55003,82.4,56,2765 of 2897
"Crawford County, Missouri",29055,82,41,2764 of 2897
"Adair County, Oklahoma",40001,81.9,59,2763 of 2897
"Malheur County, Oregon",41045,81.8,9,2762 of 2897
"Ramsey County, North Dakota",38071,81.5,44,2761 of 2897
"Wayne County, Illinois",17191,81.1,60,2760 of 2897
"Greene County, Indiana",18055,80,4,2757 of 2897
"Rolette County, North Dakota",38079,80,32,2757 of 2897
"Wabash County, Illinois",17185,80,4,2757 of 2897
"Collingsworth County, Texas",48087,79.3,157,2756 of 2897
"Gunnison County, Colorado",08051,79.1,34,2755 of 2897
"Modoc County, California",06049,78.7,70,2753 of 2897
"Pike County, Arkansas",05109,78.7,140,2753 of 2897
"Park County, Wyoming",56029,78.6,55,2752 of 2897
"Ogemaw County, Michigan",26129,78.3,18,2751 of 2897
"Montgomery County, Indiana",18107,77.8,98,2750 of 2897
"Montgomery County, Illinois",17135,77.4,72,2749 of 2897
"Denali, Alaska",02068,76.9,10,2748 of 2897
"Iron County, Michigan",26071,76.8,43,2747 of 2897
"Van Buren County, Arkansas",05141,76.7,79,2746 of 2897
"Shoshone County, Idaho",16079,76.7,23,2745 of 2897
"Clay County, Illinois",17025,76.3,29,2744 of 2897
"Asotin County, Washington",53003,75.4,49,2743 of 2897
"Adams County, Indiana",18001,75.3,110,2742 of 2897
"Cass County, Iowa",19029,75.3,61,2741 of 2897
"Hamilton County, New York",36041,75,3,2737 of 2897
"Plumas County, California",06063,75,96,2737 of 2897
"Richland County, Illinois",17159,75,21,2737 of 2897
"Roane County, West Virginia",54087,75,3,2737 of 2897
"Grant County, West Virginia",54023,74.7,74,2736 of 2897
"Lander County, Nevada",32015,74.5,79,2735 of 2897
"Union County, Illinois",17181,74.2,95,2734 of 2897
"Fayette County, Illinois",17051,74.1,83,2733 of 2897
"Stoddard County, Missouri",29207,73.9,85,2732 of 2897
"Mahaska County, Iowa",19123,73.9,164,2731 of 2897
"Waseca County, Minnesota",27161,73.8,48,2730 of 2897
"Roosevelt County, Montana",30085,73.7,14,2729 of 2897
"O'Brien County, Iowa",19141,73.5,97,2728 of 2897
"Fayette County, Iowa",19065,73.3,110,2727 of 2897
"Uintah County, Utah",49047,72.6,61,2726 of 2897
"Oscoda County, Michigan",26135,72.1,31,2725 of 2897
"Swisher County, Texas",48437,72,134,2724 of 2897
"Macon County, Tennessee",47111,72,36,2723 of 2897
"Floyd County, Kentucky",21071,71.8,130,2722 of 2897
"Mercer County, Illinois",17131,71.4,25,2720 of 2897
"Pershing County, Nevada",32027,71.4,5,2720 of 2897
"Chariton County, Missouri",29041,71.1,64,2719 of 2897
"Clay County, South Dakota",46027,70.7,70,2718 of 2897
"Union County, Georgia",13291,70.6,12,2717 of 2897
"Howell County, Missouri",29091,70.4,19,2716 of 2897
"Tyler County, Texas",48457,70.2,379,2715 of 2897
"Union County, Oregon",41061,70.1,68,2714 of 2897
"Arenac County, Michigan",26011,69.6,32,2713 of 2897
"Stevens County, Minnesota",27149,69.3,61,2712 of 2897
"Casey County, Kentucky",21045,69.2,36,2711 of 2897
"Pipestone County, Minnesota",27117,68.9,31,2710 of 2897
"Greene County, Arkansas",05055,68.8,313,2709 of 2897
"Humboldt County, Iowa",19091,68.8,11,2708 of 2897
"Russell County, Kentucky",21207,68.7,79,2707 of 2897
"Leelanau County, Michigan",26089,68.6,24,2706 of 2897
"Buffalo County, Wisconsin",55011,68.4,52,2705 of 2897
"Boundary County, Idaho",16021,68.2,15,2704 of 2897
"Carlton County, Minnesota",27017,68.1,158,2703 of 2897
"Ralls County, Missouri",29173,68,102,2701 of 2897
"Tuscola County, Michigan",26157,68,170,2701 of 2897
"Gallatin County, Kentucky",21077,67.9,74,2700 of 2897
"Gilmer County, West Virginia",54021,67.7,105,2698 of 2897
"Monroe County, Kentucky",21171,67.7,42,2698 of 2897
"Uvalde County, Texas",48463,67.7,134,2697 of 2897
"Fremont County, Wyoming",56013,67.6,92,2695 of 2897
"Kearny County, Kansas",20093,67.6,23,2695 of 2897
"Aleutians West Census Area, Alaska",02016,67.2,78,2694 of 2897
"Menominee County, Michigan",26109,67,63,2693 of 2897
"Somervell County, Texas",48425,67,65,2692 of 2897
"Franklin County, Nebraska",31061,66.7,2,2689 of 2897
"Louisa County, Iowa",19115,66.7,46,2689 of 2897
"Page County, Iowa",19145,66.7,2,2689 of 2897
"Yancey County, North Carolina",37199,66.1,41,2688 of 2897
"Kalkaska County, Michigan",26079,65.7,92,2687 of 2897
"Clinton County, Indiana",18023,65.5,78,2686 of 2897
"Holt County, Nebraska",31089,65.5,19,2685 of 2897
"Sullivan County, Missouri",29211,65.4,34,2684 of 2897
"Wadena County, Minnesota",27159,65.3,66,2683 of 2897
"Albany County, Wyoming",56001,65.3,169,2682 of 2897
"Delta County, Michigan",26041,65.1,28,2681 of 2897
"Knox County, Missouri",29103,64.7,11,2680 of 2897
"Clay County, North Carolina",37043,64.7,97,2679 of 2897
"Ford County, Illinois",17053,64.5,40,2678 of 2897
"Benzie County, Michigan",26019,64.3,18,2677 of 2897
"Marshall County, Oklahoma",40095,64,80,2676 of 2897
"Miller County, Missouri",29131,63.8,51,2675 of 2897
"Knox County, Texas",48275,63.6,49,2673 of 2897
"Logan County, Illinois",17107,63.6,133,2673 of 2897
"Swain County, North Carolina",37173,63.4,45,2672 of 2897
"Converse County, Wyoming",56009,63.3,19,2671 of 2897
"Wayne County, Iowa",19185,63.2,12,2670 of 2897
"Moffat County, Colorado",08081,62.7,37,2669 of 2897
"Avery County, North Carolina",37011,62.5,15,2665 of 2897
"Cass County, Indiana",18017,62.5,80,2665 of 2897
"Coal County, Oklahoma",40029,62.5,5,2665 of 2897
"Fentress County, Tennessee",47049,62.5,10,2665 of 2897
"Chippewa County, Minnesota",27023,62.4,78,2664 of 2897
"Clinton County, Iowa",19045,62,397,2663 of 2897
"Schuyler County, Illinois",17169,62,184,2662 of 2897
"Carroll County, Kentucky",21041,61.8,191,2661 of 2897
"Lawrence County, South Dakota",46081,61.8,76,2660 of 2897
"Elk County, Pennsylvania",42047,61.6,90,2659 of 2897
"Beltrami County, Minnesota",27007,61.4,132,2658 of 2897
"Cheboygan County, Michigan",26031,61.3,57,2657 of 2897
"Radford City, Virginia",51750,61.2,191,2656 of 2897
"Freeborn County, Minnesota",27047,61.2,82,2655 of 2897
"Carlisle County, Kentucky",21039,61.1,11,2654 of 2897
"Keith County, Nebraska",31101,61,61,2653 of 2897
"Warren County, Pennsylvania",42123,61,75,2652 of 2897
"Douglas County, Illinois",17041,60.9,42,2651 of 2897
"Lake County, Montana",30047,60.8,48,2650 of 2897
"Meigs County, Ohio",39105,60.7,17,2649 of 2897
"Hancock County, Illinois",17067,60.5,26,2648 of 2897
"Hancock County, Iowa",19081,60.4,29,2647 of 2897
"Oceana County, Michigan",26127,60.2,103,2646 of 2897
"Clay County, Minnesota",27027,60.2,917,2645 of 2897
"Fremont County, Idaho",16043,60,3,2641 of 2897
"Santa Cruz County, Arizona",04023,60,81,2641 of 2897
"Shannon County, Missouri",29203,60,6,2641 of 2897
"Washburn County, Wisconsin",55129,60,54,2641 of 2897
"George County, Mississippi",28039,59.9,408,2640 of 2897
"Hardee County, Florida",12049,59.4,209,2638 of 2897
"Humphreys County, Tennessee",47085,59.4,57,2638 of 2897
"Missaukee County, Michigan",26113,59.1,13,2637 of 2897
"Duchesne County, Utah",49013,58.8,10,2636 of 2897
"Wayne County, Tennessee",47181,58.5,69,2635 of 2897
"McCreary County, Kentucky",21147,58.4,132,2634 of 2897
"Iron County, Utah",49021,58.3,102,2633 of 2897
"Mackinac County, Michigan",26097,57.7,116,2632 of 2897
"Jay County, Indiana",18075,57.7,30,2631 of 2897
"Union County, Kentucky",21225,57.6,640,2630 of 2897
