Demographic Data Report for United States by County,,,,
Poverty: Persons below poverty,,,,
"All Ages, Black (includes Hispanic), Male",,,,
2017-2021 American Community Survey 5-Year Data,,,,
Sorted by Value,,,,
,,,,
County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Otoe County, Nebraska",31131,41.7,35,2430 of 2897
"Park County, Colorado",08093,41.7,10,2430 of 2897
"Summit County, Colorado",08117,41.7,10,2430 of 2897
"Garland County, Arkansas",05051,41.6,1579,2429 of 2897
"Crow Wing County, Minnesota",27035,41.5,108,2428 of 2897
"Franklin Parish, Louisiana",22041,41.5,1106,2427 of 2897
"Chester County, Tennessee",47023,41.5,397,2426 of 2897
"Coahoma County, Mississippi",28027,41.5,2970,2425 of 2897
"Gage County, Nebraska",31067,41.4,36,2424 of 2897
"Clinton County, New York",36019,41.4,127,2423 of 2897
"Union Parish, Louisiana",22111,41.3,1004,2422 of 2897
"Delaware County, New York",36025,41.2,127,2421 of 2897
"Henry County, Tennessee",47079,41.2,458,2420 of 2897
"Douglas County, Oregon",41019,41.2,61,2419 of 2897
"Evangeline Parish, Louisiana",22039,41.2,1707,2418 of 2897
"Coos County, Oregon",41011,41.2,112,2417 of 2897
"Madison Parish, Louisiana",22065,41.1,978,2416 of 2897
"Russell County, Virginia",51167,41.1,85,2415 of 2897
"Newton County, Texas",48351,41,595,2414 of 2897
"Pike County, Mississippi",28113,41,4007,2413 of 2897
"Lea County, New Mexico",35025,41,719,2412 of 2897
"Rutherford County, North Carolina",37161,40.9,1161,2411 of 2897
"Aitkin County, Minnesota",27001,40.9,9,2410 of 2897
"Fayette County, Alabama",01057,40.8,451,2409 of 2897
"Fountain County, Indiana",18045,40.8,31,2408 of 2897
"Ottawa County, Ohio",39123,40.6,121,2407 of 2897
"Baxter County, Arkansas",05005,40.4,38,2406 of 2897
"Manitowoc County, Wisconsin",55071,40.4,234,2405 of 2897
"Grant County, Indiana",18053,40.4,876,2404 of 2897
"Hickman County, Kentucky",21105,40.4,67,2403 of 2897
"Red River County, Texas",48387,40.2,308,2402 of 2897
"Clay County, Alabama",01027,40.1,334,2401 of 2897
"Harlan County, Kentucky",21095,40.1,118,2400 of 2897
"Churchill County, Nevada",32001,40.1,178,2399 of 2897
"Warren County, Iowa",19181,40.1,101,2398 of 2897
"Phelps County, Missouri",29161,40.1,143,2397 of 2897
"Webster Parish, Louisiana",22119,40,2342,2396 of 2897
"Coshocton County, Ohio",39031,40,64,2391 of 2897
"Ellis County, Oklahoma",40045,40,2,2391 of 2897
"Hubbard County, Minnesota",27057,40,40,2391 of 2897
"Jasper County, Illinois",17079,40,2,2391 of 2897
"Johnson County, Illinois",17087,40,2,2391 of 2897
"Choctaw County, Oklahoma",40023,40,257,2390 of 2897
"Androscoggin County, Maine",23001,39.9,589,2389 of 2897
"Sangamon County, Illinois",17167,39.9,4395,2388 of 2897
"Lewis County, Tennessee",47101,39.7,29,2387 of 2897
"Lincoln County, Kentucky",21137,39.7,104,2386 of 2897
"Lake County, California",06033,39.7,367,2385 of 2897
"Steuben County, New York",36101,39.6,337,2384 of 2897
"Crawford County, Iowa",19047,39.5,92,2383 of 2897
"Bienville Parish, Louisiana",22013,39.5,968,2382 of 2897
"Terrell County, Georgia",13273,39.4,890,2381 of 2897
"Greene County, Alabama",01063,39.4,1139,2380 of 2897
"Dawson County, Texas",48115,39.4,63,2379 of 2897
"Evans County, Georgia",13109,39.4,533,2378 of 2897
"Ottawa County, Oklahoma",40115,39.3,48,2377 of 2897
"Allegany County, New York",36003,39.3,33,2375 of 2897
"Craig County, Oklahoma",40035,39.3,66,2375 of 2897
"Stearns County, Minnesota",27145,39.3,2407,2374 of 2897
"Eagle County, Colorado",08037,39.2,173,2373 of 2897
"Weakley County, Tennessee",47183,39.2,424,2372 of 2897
"Jackson County, Illinois",17077,39.2,1171,2371 of 2897
"Delaware County, Indiana",18035,39.2,1237,2370 of 2897
"Owen County, Kentucky",21187,39.1,9,2368 of 2897
"Turner County, South Dakota",46125,39.1,9,2368 of 2897
"Northumberland County, Pennsylvania",42097,39,123,2367 of 2897
"Webster County, Mississippi",28155,39,319,2366 of 2897
"Lafayette County, Arkansas",05073,39,420,2365 of 2897
"Pepin County, Wisconsin",55091,38.9,7,2364 of 2897
"Putnam County, Florida",12107,38.8,1968,2363 of 2897
"Fannin County, Texas",48147,38.8,283,2362 of 2897
"Madison County, Florida",12079,38.7,1043,2361 of 2897
"Nevada County, Arkansas",05099,38.7,552,2360 of 2897
"Bay County, Michigan",26017,38.6,304,2359 of 2897
"Fayette County, Pennsylvania",42051,38.5,746,2358 of 2897
"Benton County, Indiana",18007,38.5,15,2356 of 2897
"Scotts Bluff County, Nebraska",31157,38.5,40,2356 of 2897
"Eau Claire County, Wisconsin",55035,38.3,337,2355 of 2897
"West Carroll Parish, Louisiana",22123,38.3,278,2354 of 2897
"Lincoln Parish, Louisiana",22061,38.3,2949,2353 of 2897
"DeKalb County, Tennessee",47041,38.3,80,2352 of 2897
"Caldwell County, North Carolina",37027,38.3,548,2351 of 2897
"Nolan County, Texas",48353,38.2,156,2350 of 2897
"Dare County, North Carolina",37055,38.2,328,2349 of 2897
"Concordia Parish, Louisiana",22029,38.2,1169,2348 of 2897
"Neshoba County, Mississippi",28099,38.2,1088,2347 of 2897
"Escambia County, Alabama",01053,38.2,1728,2346 of 2897
"Jones County, Mississippi",28067,38.1,3433,2345 of 2897
"San Patricio County, Texas",48409,38.1,290,2344 of 2897
"Kandiyohi County, Minnesota",27067,38.1,474,2343 of 2897
"Osceola County, Michigan",26133,38.1,40,2342 of 2897
"Butler County, Missouri",29023,38,445,2341 of 2897
"Berrien County, Michigan",26021,38,3701,2340 of 2897
"Seneca County, New York",36099,38,81,2339 of 2897
"Wayne County, Georgia",13305,38,810,2338 of 2897
"Haywood County, North Carolina",37087,37.9,83,2337 of 2897
"Marquette County, Michigan",26103,37.9,187,2336 of 2897
"Lee County, Texas",48287,37.8,322,2335 of 2897
"Broome County, New York",36007,37.8,1739,2334 of 2897
"Greer County, Oklahoma",40055,37.8,34,2333 of 2897
"Oxford County, Maine",23017,37.8,37,2332 of 2897
"Lycoming County, Pennsylvania",42081,37.7,847,2331 of 2897
"Goodhue County, Minnesota",27049,37.7,90,2330 of 2897
"Barnwell County, South Carolina",45011,37.6,1694,2329 of 2897
"Bennington County, Vermont",50003,37.6,50,2328 of 2897
"Grundy County, Missouri",29079,37.5,6,2327 of 2897
"Austin County, Texas",48015,37.5,491,2326 of 2897
"Marion County, Mississippi",28091,37.5,1255,2325 of 2897
"Attala County, Mississippi",28007,37.4,1299,2324 of 2897
"Coconino County, Arizona",04005,37.3,267,2323 of 2897
"Lamar County, Alabama",01075,37.3,261,2322 of 2897
"Fulton County, New York",36035,37.3,129,2321 of 2897
"Desha County, Arkansas",05041,37.2,933,2320 of 2897
"Toombs County, Georgia",13279,37.2,1067,2319 of 2897
"Washington County, Iowa",19183,37.2,32,2318 of 2897
"Val Verde County, Texas",48465,37.1,91,2317 of 2897
"Stephenson County, Illinois",17177,37.1,794,2316 of 2897
"Washington County, Nebraska",31177,37.1,33,2315 of 2897
"Ouachita Parish, Louisiana",22073,37,9572,2314 of 2897
"Bolivar County, Mississippi",28011,37,3095,2313 of 2897
"Lauderdale County, Mississippi",28075,37,5110,2312 of 2897
"Laurens County, Georgia",13175,37,3049,2311 of 2897
"Treutlen County, Georgia",13283,36.8,328,2310 of 2897
"Sharkey County, Mississippi",28125,36.8,489,2309 of 2897
"Defiance County, Ohio",39039,36.8,128,2308 of 2897
"Morgan County, Illinois",17137,36.7,319,2307 of 2897
"Pulaski County, Virginia",51155,36.7,239,2306 of 2897
"Leflore County, Mississippi",28083,36.6,3360,2305 of 2897
"Cleveland County, Arkansas",05025,36.6,105,2304 of 2897
"Benton County, Iowa",19011,36.5,19,2303 of 2897
"Franklin County, Georgia",13119,36.5,327,2302 of 2897
"Grant Parish, Louisiana",22043,36.5,403,2301 of 2897
"Houston County, Texas",48225,36.4,731,2300 of 2897
"Montmorency County, Michigan",26119,36.4,4,2297 of 2897
"Nicholas County, Kentucky",21181,36.4,16,2297 of 2897
"Reynolds County, Missouri",29179,36.4,20,2297 of 2897
"Surry County, North Carolina",37171,36.3,486,2296 of 2897
"Jefferson County, Missouri",29099,36.3,412,2295 of 2897
"Greene County, Mississippi",28041,36.3,202,2294 of 2897
"Putnam County, West Virginia",54079,36.2,126,2293 of 2897
"Bleckley County, Georgia",13023,36.1,381,2292 of 2897
"Jackson Parish, Louisiana",22049,36.1,608,2291 of 2897
"Sunflower County, Mississippi",28133,36.1,2871,2290 of 2897
"Hot Spring County, Arkansas",05059,36.1,451,2289 of 2897
"Dubois County, Indiana",18037,36,98,2288 of 2897
"Henry County, Iowa",19087,36,58,2287 of 2897
"Monroe County, Arkansas",05095,36,487,2286 of 2897
"Grant County, Wisconsin",55043,36,109,2285 of 2897
"Lamar County, Mississippi",28073,36,2105,2284 of 2897
"Claiborne County, Mississippi",28021,35.9,1215,2283 of 2897
"Hancock County, Mississippi",28045,35.9,514,2282 of 2897
"Quitman County, Mississippi",28119,35.9,738,2281 of 2897
"Adams County, Mississippi",28001,35.9,2463,2280 of 2897
"Columbia County, Pennsylvania",42037,35.9,150,2279 of 2897
"Winnebago County, Illinois",17201,35.8,6210,2278 of 2897
"Crawford County, Ohio",39033,35.8,97,2277 of 2897
"St. Clair County, Missouri",29185,35.7,5,2276 of 2897
"St. Landry Parish, Louisiana",22097,35.7,5496,2275 of 2897
"Jefferson County, Ohio",39081,35.6,612,2274 of 2897
"Bladen County, North Carolina",37017,35.6,1656,2273 of 2897
"Dunklin County, Missouri",29069,35.6,480,2272 of 2897
"Lake County, Tennessee",47095,35.6,94,2271 of 2897
"Beckham County, Oklahoma",40009,35.6,53,2270 of 2897
"Luzerne County, Pennsylvania",42079,35.5,2660,2269 of 2897
"McCurtain County, Oklahoma",40089,35.5,366,2268 of 2897
"Transylvania County, North Carolina",37175,35.5,280,2267 of 2897
"Jefferson County, Tennessee",47089,35.5,135,2266 of 2897
"Cocke County, Tennessee",47029,35.5,142,2265 of 2897
"Macon County, North Carolina",37113,35.5,128,2264 of 2897
"Des Moines County, Iowa",19057,35.4,354,2263 of 2897
"Natchitoches Parish, Louisiana",22069,35.4,2539,2262 of 2897
"Tallahatchie County, Mississippi",28135,35.4,1551,2261 of 2897
"Appling County, Georgia",13001,35.4,644,2260 of 2897
"La Plata County, Colorado",08067,35.4,23,2259 of 2897
"Hamblen County, Tennessee",47063,35.4,400,2258 of 2897
"Okfuskee County, Oklahoma",40107,35.4,116,2257 of 2897
"Cass County, Illinois",17017,35.3,95,2256 of 2897
"Wayne County, Indiana",18177,35.3,553,2255 of 2897
"Dodge County, Minnesota",27039,35.3,30,2254 of 2897
"Lowndes County, Georgia",13185,35.2,6622,2253 of 2897
"Stanly County, North Carolina",37167,35.2,1129,2252 of 2897
"Montgomery County, Kentucky",21173,35.2,118,2251 of 2897
"Tazewell County, Illinois",17179,35.2,278,2250 of 2897
"Howard County, Texas",48227,35.1,319,2249 of 2897
"Washington County, Mississippi",28151,35.1,5151,2248 of 2897
"Simpson County, Mississippi",28127,35.1,1522,2247 of 2897
"St. Louis County, Minnesota",27137,35,416,2246 of 2897
"Beaver County, Pennsylvania",42007,35,1623,2245 of 2897
"Glenn County, California",06021,35,14,2244 of 2897
"Perquimans County, North Carolina",37143,34.9,455,2243 of 2897
"Lavaca County, Texas",48285,34.9,177,2242 of 2897
"Camden County, Georgia",13039,34.9,1709,2241 of 2897
"Henry County, Indiana",18065,34.9,222,2240 of 2897
"Huntington County, Indiana",18069,34.8,46,2239 of 2897
"Victoria County, Texas",48469,34.8,816,2238 of 2897
"Coos County, New Hampshire",33007,34.8,8,2236 of 2897
"Red Lake County, Minnesota",27125,34.8,8,2236 of 2897
"Hamilton County, Florida",12047,34.8,499,2235 of 2897
"Fond du Lac County, Wisconsin",55039,34.8,220,2234 of 2897
"Cape Girardeau County, Missouri",29031,34.6,829,2233 of 2897
"Choctaw County, Mississippi",28019,34.6,430,2232 of 2897
"Dillon County, South Carolina",45033,34.6,2167,2231 of 2897
"Wythe County, Virginia",51197,34.6,121,2230 of 2897
"Onondaga County, New York",36067,34.6,8077,2229 of 2897
"Muskingum County, Ohio",39119,34.5,471,2228 of 2897
"Humphreys County, Mississippi",28053,34.5,990,2227 of 2897
"Scotland County, North Carolina",37165,34.5,2062,2226 of 2897
"Windham County, Vermont",50025,34.4,62,2225 of 2897
"Otero County, Colorado",08089,34.4,21,2224 of 2897
"Scurry County, Texas",48415,34.3,79,2223 of 2897
"Perry County, Alabama",01105,34.3,912,2222 of 2897
"Erie County, Pennsylvania",42049,34.2,2668,2221 of 2897
"Potter County, Texas",48375,34.2,1784,2220 of 2897
"Upshur County, West Virginia",54097,34.1,59,2219 of 2897
"Huron County, Ohio",39077,34.1,136,2218 of 2897
"Tangipahoa Parish, Louisiana",22105,34,6074,2217 of 2897
"Lorain County, Ohio",39093,34,3732,2216 of 2897
"Mahoning County, Ohio",39099,34,5054,2215 of 2897
"Chaves County, New Mexico",35005,34,145,2214 of 2897
"Fulton County, Kentucky",21075,33.9,204,2213 of 2897
"Woodruff County, Arkansas",05147,33.9,310,2212 of 2897
"Pendleton County, Kentucky",21191,33.9,20,2211 of 2897
"Geneva County, Alabama",01061,33.9,397,2210 of 2897
"Scott County, Iowa",19163,33.9,1935,2209 of 2897
"Henry County, Illinois",17073,33.8,134,2208 of 2897
"Barren County, Kentucky",21009,33.8,268,2207 of 2897
"Jenkins County, Georgia",13165,33.7,325,2206 of 2897
"Polk County, Georgia",13233,33.7,798,2205 of 2897
"Del Norte County, California",06015,33.7,30,2204 of 2897
"Pulaski County, Georgia",13235,33.7,515,2203 of 2897
"Stark County, Ohio",39151,33.7,4335,2202 of 2897
"Telfair County, Georgia",13271,33.7,489,2201 of 2897
"Carter County, Tennessee",47019,33.7,174,2200 of 2897
"Brown County, Texas",48049,33.6,230,2199 of 2897
"Yalobusha County, Mississippi",28161,33.6,737,2198 of 2897
"Miller County, Georgia",13201,33.5,225,2197 of 2897
"Colquitt County, Georgia",13071,33.5,1765,2196 of 2897
"Torrance County, New Mexico",35057,33.5,95,2195 of 2897
"Seminole County, Georgia",13253,33.4,418,2194 of 2897
"Carbon County, Wyoming",56007,33.3,1,2186 of 2897
"Crawford County, Illinois",17033,33.3,17,2186 of 2897
"Iron County, Missouri",29093,33.3,3,2186 of 2897
"Jackson County, Wisconsin",55053,33.3,9,2186 of 2897
"Putnam County, Illinois",17155,33.3,3,2186 of 2897
"Sanders County, Montana",30089,33.3,8,2186 of 2897
"Somerset County, Pennsylvania",42111,33.3,13,2186 of 2897
"Traill County, North Dakota",38097,33.3,11,2186 of 2897
"Levy County, Florida",12075,33.3,547,2185 of 2897
"Lonoke County, Arkansas",05085,33.2,621,2184 of 2897
"Campbell County, Kentucky",21037,33.2,300,2183 of 2897
"Marshall County, Alabama",01095,33.2,489,2182 of 2897
"Mississippi County, Arkansas",05093,33.2,2179,2181 of 2897
"Washington Parish, Louisiana",22117,33.2,2007,2180 of 2897
"Kay County, Oklahoma",40071,33.1,146,2179 of 2897
"Franklin County, New York",36033,33.1,96,2178 of 2897
"Todd County, Kentucky",21219,33.1,143,2177 of 2897
"Noxubee County, Mississippi",28103,33.1,1139,2176 of 2897
"Newton County, Missouri",29145,33,108,2175 of 2897
"Lawrence County, Arkansas",05075,33,34,2174 of 2897
"Montgomery County, Georgia",13209,33,233,2173 of 2897
"Lenoir County, North Carolina",37107,32.9,3251,2172 of 2897
"Hopewell City, Virginia",51670,32.9,1484,2171 of 2897
"Pulaski County, Illinois",17153,32.9,231,2170 of 2897
"Chemung County, New York",36015,32.9,683,2169 of 2897
"Ben Hill County, Georgia",13017,32.9,940,2168 of 2897
"Mathews County, Virginia",51115,32.9,98,2167 of 2897
"Upson County, Georgia",13293,32.9,1149,2166 of 2897
"Mayes County, Oklahoma",40097,32.9,23,2165 of 2897
"Pulaski County, Missouri",29169,32.8,763,2164 of 2897
"Madison County, Illinois",17119,32.8,3423,2163 of 2897
"Grand Traverse County, Michigan",26055,32.8,141,2162 of 2897
"Winston County, Alabama",01133,32.8,40,2161 of 2897
"Beauregard Parish, Louisiana",22011,32.8,758,2160 of 2897
"Centre County, Pennsylvania",42027,32.8,518,2159 of 2897
"Buchanan County, Missouri",29021,32.8,763,2158 of 2897
"Brooks County, Georgia",13027,32.8,867,2157 of 2897
"Howard County, Arkansas",05061,32.7,398,2156 of 2897
"Robertson County, Texas",48395,32.7,513,2155 of 2897
"Ashe County, North Carolina",37009,32.7,33,2153 of 2897
"Union County, Florida",12125,32.7,99,2153 of 2897
"Allen Parish, Louisiana",22003,32.6,294,2152 of 2897
"Scioto County, Ohio",39145,32.6,138,2151 of 2897
"Robeson County, North Carolina",37155,32.6,3916,2150 of 2897
"Quay County, New Mexico",35037,32.6,15,2149 of 2897
"Genesee County, Michigan",26049,32.6,11991,2148 of 2897
"Hempstead County, Arkansas",05057,32.6,830,2147 of 2897
"Stewart County, Georgia",13259,32.5,420,2146 of 2897
"Monroe County, Alabama",01099,32.5,1239,2145 of 2897
"Georgetown County, South Carolina",45043,32.5,2821,2144 of 2897
"Ashley County, Arkansas",05003,32.5,728,2143 of 2897
"De Soto Parish, Louisiana",22031,32.5,1406,2142 of 2897
"Shelby County, Texas",48419,32.5,717,2141 of 2897
"Dooly County, Georgia",13093,32.5,716,2140 of 2897
"Saginaw County, Michigan",26145,32.5,5214,2139 of 2897
"Sumter County, Alabama",01119,32.5,1265,2138 of 2897
"Smith County, Mississippi",28129,32.4,514,2137 of 2897
"Douglas County, Minnesota",27041,32.4,12,2135 of 2897
"Gladwin County, Michigan",26051,32.4,12,2135 of 2897
"Candler County, Georgia",13043,32.4,382,2133 of 2897
"Lee County, Arkansas",05077,32.4,573,2133 of 2897
"Dyer County, Tennessee",47045,32.4,688,2132 of 2897
"Yolo County, California",06113,32.4,946,2131 of 2897
"West Feliciana Parish, Louisiana",22125,32.4,941,2130 of 2897
"Matagorda County, Texas",48321,32.3,515,2129 of 2897
"Gila County, Arizona",04007,32.3,53,2128 of 2897
"Burleigh County, North Dakota",38015,32.3,439,2127 of 2897
"Jefferson County, Mississippi",28063,32.3,823,2126 of 2897
"Harrisonburg City, Virginia",51660,32.3,612,2125 of 2897
"Trumbull County, Ohio",39155,32.2,2091,2124 of 2897
"Walthall County, Mississippi",28147,32.2,964,2123 of 2897
"Callahan County, Texas",48059,32.2,19,2122 of 2897
"Franklin County, Washington",53021,32.1,342,2121 of 2897
"Floyd County, Georgia",13115,32.1,1842,2120 of 2897
"Richmond County, Virginia",51159,32.1,252,2119 of 2897
"Baker County, Georgia",13007,32.1,188,2118 of 2897
"Richland County, North Dakota",38077,32.1,17,2117 of 2897
"Ashtabula County, Ohio",39007,32.1,484,2116 of 2897
"Allegany County, Maryland",24001,32,120,2114 of 2897
"Stevens County, Washington",53065,32,24,2114 of 2897
"Martinsville City, Virginia",51690,32,858,2113 of 2897
"Wilcox County, Georgia",13315,32,268,2112 of 2897
"Bibb County, Alabama",01007,31.9,812,2111 of 2897
"Clay County, Georgia",13061,31.9,235,2110 of 2897
"Ware County, Georgia",13299,31.9,1336,2109 of 2897
"Pamlico County, North Carolina",37137,31.9,306,2108 of 2897
"DeKalb County, Illinois",17037,31.9,996,2106 of 2897
"Seminole County, Oklahoma",40133,31.9,166,2106 of 2897
"Nacogdoches County, Texas",48347,31.9,1563,2105 of 2897
"Waynesboro City, Virginia",51820,31.8,409,2104 of 2897
"Chicot County, Arkansas",05017,31.8,807,2103 of 2897
"Crockett County, Tennessee",47033,31.7,287,2102 of 2897
"Tunica County, Mississippi",28143,31.7,1174,2101 of 2897
"Columbia County, Arkansas",05027,31.7,1091,2100 of 2897
"Macon County, Georgia",13193,31.7,821,2099 of 2897
"Yates County, New York",36123,31.7,13,2098 of 2897
"Jackson County, Arkansas",05067,31.7,201,2097 of 2897
"Graves County, Kentucky",21083,31.6,207,2096 of 2897
"Rapides Parish, Louisiana",22079,31.6,5854,2095 of 2897
"McLean County, Illinois",17113,31.6,1900,2094 of 2897
"Lapeer County, Michigan",26087,31.5,41,2093 of 2897
"Rock Island County, Illinois",17161,31.5,2259,2092 of 2897
"Carroll County, Tennessee",47017,31.5,410,2091 of 2897
"Obion County, Tennessee",47131,31.5,478,2090 of 2897
"Logan County, Kentucky",21141,31.5,233,2089 of 2897
"Cass County, Texas",48067,31.5,698,2088 of 2897
"Williamson County, Illinois",17199,31.4,368,2087 of 2897
"Caddo Parish, Louisiana",22017,31.4,16442,2086 of 2897
"Madison County, Indiana",18095,31.4,1403,2085 of 2897
"Harrison County, Mississippi",28047,31.4,7393,2084 of 2897
"Halifax County, North Carolina",37083,31.4,3614,2083 of 2897
"Scott County, Mississippi",28123,31.3,1444,2082 of 2897
"Allamakee County, Iowa",19005,31.3,41,2081 of 2897
"McCracken County, Kentucky",21145,31.3,966,2080 of 2897
"St. Bernard Parish, Louisiana",22087,31.3,1466,2079 of 2897
"Yazoo County, Mississippi",28163,31.3,2242,2078 of 2897
"Klickitat County, Washington",53039,31.3,15,2077 of 2897
"Taylor County, Florida",12123,31.2,383,2076 of 2897
"Washington County, Ohio",39167,31.2,152,2075 of 2897
"Panola County, Mississippi",28107,31.2,2370,2074 of 2897
"Grenada County, Mississippi",28043,31.2,1452,2073 of 2897
"Floyd County, Indiana",18043,31.2,577,2072 of 2897
"Wilcox County, Alabama",01131,31.1,1027,2071 of 2897
"Peoria County, Illinois",17143,31,4470,2070 of 2897
"Arkansas County, Arkansas",05001,31,635,2069 of 2897
"Lafayette Parish, Louisiana",22055,31,8680,2068 of 2897
"St. Croix County, Wisconsin",55109,31,118,2067 of 2897
"Kemper County, Mississippi",28069,30.9,777,2066 of 2897
"Monroe County, New York",36055,30.9,15462,2065 of 2897
"Allendale County, South Carolina",45005,30.9,846,2064 of 2897
"Leake County, Mississippi",28079,30.9,1378,2063 of 2897
"Marshall County, West Virginia",54051,30.8,41,2062 of 2897
"Columbia County, Wisconsin",55021,30.8,110,2061 of 2897
"Ingham County, Michigan",26065,30.8,4858,2060 of 2897
"DeKalb County, Missouri",29063,30.8,4,2057 of 2897
"Forest County, Wisconsin",55041,30.8,4,2057 of 2897
"Steuben County, Indiana",18151,30.8,8,2057 of 2897
"Brazos County, Texas",48041,30.8,3551,2056 of 2897
"Choctaw County, Alabama",01023,30.8,743,2055 of 2897
"Calhoun County, Michigan",26025,30.7,2048,2054 of 2897
"Elkhart County, Indiana",18039,30.7,1564,2053 of 2897
"Washington County, Texas",48477,30.7,825,2052 of 2897
"Cambria County, Pennsylvania",42021,30.7,635,2051 of 2897
"Seneca County, Ohio",39147,30.7,219,2050 of 2897
"Bertie County, North Carolina",37015,30.7,1533,2049 of 2897
"Blount County, Alabama",01009,30.7,107,2048 of 2897
"Warren County, Georgia",13301,30.6,448,2047 of 2897
"Randolph County, North Carolina",37151,30.6,1185,2046 of 2897
"Pushmataha County, Oklahoma",40127,30.6,11,2045 of 2897
"Marion County, Oregon",41047,30.5,586,2044 of 2897
"Kewaunee County, Wisconsin",55061,30.5,36,2043 of 2897
"Ouachita County, Arkansas",05103,30.5,1382,2042 of 2897
"Kern County, California",06029,30.5,6286,2041 of 2897
"Winston County, Mississippi",28159,30.5,1152,2040 of 2897
"Lucas County, Ohio",39095,30.4,11267,2039 of 2897
"Cumberland County, Pennsylvania",42041,30.3,1464,2038 of 2897
"McLennan County, Texas",48309,30.3,4823,2037 of 2897
"Terrebonne Parish, Louisiana",22109,30.3,2947,2036 of 2897
"Clark County, Kentucky",21049,30.3,165,2035 of 2897
"Garfield County, Oklahoma",40047,30.3,239,2034 of 2897
"Hall County, Nebraska",31079,30.3,400,2033 of 2897
"Person County, North Carolina",37145,30.3,1469,2032 of 2897
"Sullivan County, Tennessee",47163,30.3,468,2031 of 2897
"Washington County, New York",36115,30.3,63,2030 of 2897
"Caldwell County, Kentucky",21033,30.3,105,2029 of 2897
"Marion County, Illinois",17121,30.2,194,2028 of 2897
"Washington County, Pennsylvania",42125,30.2,962,2027 of 2897
"Fayette County, West Virginia",54019,30.2,290,2026 of 2897
"Marion County, Texas",48315,30.2,296,2025 of 2897
"Columbus County, North Carolina",37047,30.2,1959,2024 of 2897
"Irwin County, Georgia",13155,30.2,443,2023 of 2897
"Wyoming County, Pennsylvania",42131,30.1,22,2022 of 2897
"Jones County, North Carolina",37103,30.1,386,2021 of 2897
"Henderson County, Texas",48213,30.1,678,2020 of 2897
"Burke County, North Carolina",37023,30.1,721,2019 of 2897
"Warren County, Kentucky",21227,30.1,1658,2018 of 2897
"Sampson County, North Carolina",37163,30.1,2105,2017 of 2897
"Webster County, Georgia",13307,30,140,2016 of 2897
"Pike County, Alabama",01109,30,1629,2015 of 2897
"Wilkes County, Georgia",13317,30,506,2014 of 2897
"Bullock County, Alabama",01011,30,1035,2013 of 2897
"Kossuth County, Iowa",19109,30,6,2012 of 2897
"Elbert County, Georgia",13105,30,751,2011 of 2897
"Marengo County, Alabama",01091,30,1345,2010 of 2897
"Waller County, Texas",48473,30,1573,2009 of 2897
"Leon County, Texas",48289,30,133,2008 of 2897
"Le Flore County, Oklahoma",40079,29.9,103,2007 of 2897
"Lowndes County, Mississippi",28087,29.9,3451,2006 of 2897
"Greene County, North Carolina",37079,29.9,865,2005 of 2897
"Orangeburg County, South Carolina",45075,29.9,6853,2004 of 2897
"Chatham County, North Carolina",37037,29.9,1149,2003 of 2897
"Orange County, Virginia",51137,29.8,674,2002 of 2897
"Wasco County, Oregon",41065,29.8,17,2001 of 2897
"Clarke County, Mississippi",28023,29.8,701,2000 of 2897
"Hopkins County, Texas",48223,29.8,360,1999 of 2897
"Monroe County, Indiana",18105,29.7,649,1998 of 2897
"Cherokee County, Iowa",19035,29.7,41,1997 of 2897
"Logan County, Arkansas",05083,29.7,30,1996 of 2897
"Orleans Parish, Louisiana",22071,29.7,29240,1995 of 2897
"Bibb County, Georgia",13021,29.7,11107,1994 of 2897
"Putnam County, Ohio",39137,29.7,46,1993 of 2897
"Dougherty County, Georgia",13095,29.6,7772,1992 of 2897
"Richland County, Wisconsin",55103,29.6,8,1991 of 2897
"San Luis Obispo County, California",06079,29.6,442,1990 of 2897
"Richland County, Ohio",39139,29.6,1111,1989 of 2897
"Union County, Mississippi",28145,29.5,582,1988 of 2897
"Iberia Parish, Louisiana",22045,29.5,3020,1987 of 2897
"Tippecanoe County, Indiana",18157,29.5,1411,1986 of 2897
"Butts County, Georgia",13035,29.5,817,1985 of 2897
"McIntosh County, Georgia",13191,29.5,516,1984 of 2897
"Laurens County, South Carolina",45059,29.4,2016,1983 of 2897
"Milwaukee County, Wisconsin",55079,29.4,32905,1982 of 2897
"Okanogan County, Washington",53047,29.4,15,1981 of 2897
"Cuyahoga County, Ohio",39035,29.4,48671,1980 of 2897
"Outagamie County, Wisconsin",55087,29.4,409,1979 of 2897
"Madison County, Tennessee",47113,29.4,4671,1978 of 2897
"Hancock County, Georgia",13141,29.3,483,1977 of 2897
"La Crosse County, Wisconsin",55063,29.3,299,1976 of 2897
"Chesterfield County, South Carolina",45025,29.3,1880,1975 of 2897
"Polk County, Oregon",41053,29.3,125,1974 of 2897
"Glades County, Florida",12043,29.3,194,1973 of 2897
"Schley County, Georgia",13249,29.3,184,1972 of 2897
"Washington County, Alabama",01129,29.2,555,1971 of 2897
"Covington County, Mississippi",28031,29.2,907,1970 of 2897
"Leon County, Florida",12073,29.2,11404,1969 of 2897
"Newton County, Mississippi",28101,29.2,813,1968 of 2897
"Cleveland County, North Carolina",37045,29.1,2576,1967 of 2897
