"","Locationabbr","2020","2018","2016","2014","2012"
"126",25940,NA,55.16,55.42,45.03,57.77
"127",28700,NA,33.51,43.7,37.57,50.93
"128",29620,NA,39.45,45.55,NA,NA
"129",30460,NA,35.61,NA,52.25,39.7
"130",33500,NA,35.03,45.32,45.13,NA
"131",33860,NA,38.32,NA,42.34,57.38
"132",34820,NA,47.58,48.23,52.94,56.84
"133",35840,NA,41.95,51.16,51.51,NA
"134",36084,NA,23.21,41.62,36.75,41.21
"135",37860,NA,33.94,49.85,NA,NA
"136",39100,NA,36.27,NA,NA,NA
"137",40140,NA,24.34,33.67,41.18,40.96
"138",40900,NA,23.1,33.62,35,34.62
"139",41940,NA,34.51,32.75,NA,31.43
"140",45220,NA,43.62,42.67,NA,NA
"141",46540,NA,35.76,42.4,NA,NA
"142",10900,NA,NA,33.79,41.83,47.85
"143",13220,NA,NA,38.71,NA,NA
"144",13620,NA,NA,32.05,38.06,40.55
"145",16860,NA,NA,36.64,NA,47.83
"146",17200,NA,NA,31.8,31.04,39.97
"147",18880,NA,NA,43.31,NA,NA
"148",19380,NA,NA,40.78,44.35,46.83
"149",19660,NA,NA,43.92,NA,NA
"150",20524,NA,NA,43.24,NA,NA
"151",23060,NA,NA,40.75,37.54,57.71
"152",24220,NA,NA,29.01,NA,NA
"153",35740,NA,NA,32.69,40.29,48.19
"154",37460,NA,NA,44.86,NA,NA
"155",38940,NA,NA,53.04,NA,NA
"156",41884,NA,NA,29.89,NA,38.39
"157",42420,NA,NA,36.48,40.04,46.87
"158",43524,NA,NA,40.18,40.5,49.8
"159",43900,NA,NA,35.31,51.22,45.8
"160",46220,NA,NA,48.36,51.05,44.58
"161",48660,NA,NA,43.08,49.38,NA
"162",10380,NA,NA,NA,55.74,68.94
"163",21780,NA,NA,NA,42.07,NA
"164",24660,NA,NA,NA,38.71,43.47
"165",31540,NA,NA,NA,32.53,NA
"166",38660,NA,NA,NA,62.24,72.13
"167",40220,NA,NA,NA,42.03,NA
"168",43340,NA,NA,NA,46.42,58.82
"169",11244,NA,NA,NA,NA,45.6
"170",11700,NA,NA,NA,NA,45.48
"171",12100,NA,NA,NA,NA,51.98
"172",12300,NA,NA,NA,NA,41.41
"173",12620,NA,NA,NA,NA,37.94
"174",12700,NA,NA,NA,NA,56.83
"175",12740,NA,NA,NA,NA,38.34
"176",13380,NA,NA,NA,NA,38.79
"177",14500,NA,NA,NA,NA,33.89
"178",14740,NA,NA,NA,NA,40.5
"179",14860,NA,NA,NA,NA,49.57
"180",15940,NA,NA,NA,NA,45.73
"181",16220,NA,NA,NA,NA,58.77
"182",16940,NA,NA,NA,NA,55.93
"183",18180,NA,NA,NA,NA,38.33
"184",19804,NA,NA,NA,NA,47.42
"185",20100,NA,NA,NA,NA,53.85
"186",20500,NA,NA,NA,NA,47.74
"187",21660,NA,NA,NA,NA,42.87
"188",21820,NA,NA,NA,NA,43.09
"189",22140,NA,NA,NA,NA,33.26
"190",22180,NA,NA,NA,NA,50.9
"191",22660,NA,NA,NA,NA,48.18
"192",24500,NA,NA,NA,NA,52.31
"193",24540,NA,NA,NA,NA,39.18
"194",25420,NA,NA,NA,NA,42.51
"195",25720,NA,NA,NA,NA,45.5
"196",25900,NA,NA,NA,NA,36.54
"197",26620,NA,NA,NA,NA,44.73
"198",27980,NA,NA,NA,NA,33.29
"199",28060,NA,NA,NA,NA,45.26
"200",28180,NA,NA,NA,NA,37.72
"201",28300,NA,NA,NA,NA,42.48
"202",28420,NA,NA,NA,NA,42.11
"203",29060,NA,NA,NA,NA,39.63
"204",29740,NA,NA,NA,NA,48.9
"205",29820,NA,NA,NA,NA,50.09
"206",30340,NA,NA,NA,NA,34.67
"207",31084,NA,NA,NA,NA,39.78
"208",31300,NA,NA,NA,NA,50.63
"209",31700,NA,NA,NA,NA,42.44
"210",32580,NA,NA,NA,NA,41.78
"211",33540,NA,NA,NA,NA,39.63
"212",35300,NA,NA,NA,NA,43.47
"213",35980,NA,NA,NA,NA,46.78
